Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,10,4,0
3,6,0,1,11,4,-1
3,5,0,1,12,3,-1
3,4,0,1,11,4,-1
3,3,0,1,13,4,-1
3,2,0,1,12,4,-1
3,1,0,1,10,4,-1
3,0,0,1,11,3,-1
0,0,1,1,9,3,-1
1,1,1,1,9,2,-1
3,0,1,1,8,2,-1
0,0,2,1,6,2,-1
0,0,3,1,4,2,-1
0,0,4,1,2,2,-1
0,0,5,1,2,1,-1
0,0,6,1,2,2,-1
0,0,7,1,3,3,-1
0,0,8,1,3,4,-1
0,0,9,1,3,5,-1
0,0,10,1,3,6,-1
0,0,11,1,4,7,-1
0,0,12,1,4,8,-1
1,1,12,1,3,8,-1
0,1,13,1,4,7,-1
1,2,13,1,5,7,-1
2,2,12,1,4,8,-1
0,2,13,1,4,9,-1
0,2,14,1,4,10,-1
1,3,14,1,3,11,-1
1,4,14,1,3,12,-1
1,5,14,1,5,12,-1
1,6,14,1,4,13,-1
1,7,14,1,6,13,999
1,7,14,1,6,13,999
