Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,0,-1
1,9,0,1,2,0,-1
1,10,0,1,3,0,-1
1,11,0,1,3,1,-1
1,12,0,1,5,1,-1
1,13,0,1,7,1,-1
1,14,0,1,8,1,-1
0,14,1,1,10,1,-1
0,14,2,1,11,1,-1
0,14,3,1,12,1,-1
0,14,4,1,13,2,-1
0,14,5,1,13,3,-1
0,14,6,0,13,4,-1
0,14,7,1,14,4,-1
3,13,7,0,13,4,-1
3,12,7,0,13,3,-1
0,12,8,0,14,3,-1
0,12,9,0,13,3,-1
0,12,10,0,12,3,-1
3,11,10,0,13,3,-1
0,11,11,0,13,4,-1
3,10,11,0,14,4,-1
0,10,12,0,14,3,-1
3,9,12,0,14,4,-1
0,9,13,0,14,5,-1
0,9,14,0,14,4,-1
3,8,14,0,13,4,-1
3,7,14,0,13,3,999
3,7,14,0,13,3,999
