Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,7,9,0
0,7,1,0,7,8,-1
0,7,2,0,8,8,-1
2,7,1,0,8,9,-1
2,7,0,0,8,10,-1
0,7,1,0,8,9,-1
0,7,2,0,8,10,-1
2,7,1,0,8,11,-1
0,7,2,0,9,11,-1
2,7,1,0,9,10,-1
0,7,2,0,9,11,-1
2,7,1,0,9,12,-1
0,7,2,0,10,12,-1
2,7,1,0,8,12,-1
2,7,0,0,8,11,-1
1,8,0,0,7,11,-1
0,8,1,0,7,10,-1
0,8,2,0,7,9,-1
2,8,1,0,7,8,-1
3,7,1,1,6,8,-1
1,8,1,1,6,7,-1
1,9,1,1,6,6,-1
1,10,1,1,6,5,-1
1,11,1,1,5,4,-1
1,12,1,1,7,4,-1
1,13,1,1,7,3,-1
1,14,1,1,8,3,-1
2,14,0,1,9,3,-1
0,14,1,1,11,3,-1
2,14,0,1,11,2,-1
0,14,1,1,13,2,-1
2,14,0,1,14,3,-1
3,13,0,1,13,3,-1
3,12,0,1,12,2,-1
3,11,0,1,12,1,-1
3,10,0,1,10,1,-1
3,9,0,1,10,2,-1
3,8,0,1,10,3,-1
3,7,0,1,9,2,-1
3,6,0,1,8,2,-1
3,5,0,1,7,2,-1
3,4,0,1,6,1,-1
3,3,0,1,4,1,-1
3,2,0,1,3,1,-1
3,1,0,1,2,1,-1
3,0,0,1,1,1,-1
1,1,0,1,2,0,-1
0,1,1,1,0,0,-1
0,1,2,1,1,1,-1
0,1,3,1,0,2,-1
1,2,3,1,2,2,-1
0,2,4,1,2,3,-1
0,2,5,1,2,4,-1
0,2,6,1,2,5,-1
0,2,7,1,2,7,-101
0,2,7,1,2,7,-101
