Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,2,0
1,8,0,1,13,2,-1
0,8,1,0,12,2,-1
3,7,1,0,13,2,-1
1,8,1,0,12,2,-1
1,9,1,1,13,2,-1
0,9,2,0,12,2,-1
2,9,1,1,13,2,-1
3,8,1,0,12,2,-1
3,7,1,0,13,2,-1
1,8,1,0,12,2,-1
2,8,0,0,13,1,-1
3,7,0,1,13,2,-1
1,8,0,0,13,1,-1
0,8,1,0,13,2,-1
1,9,1,0,12,2,-1
1,10,1,1,13,2,-1
3,9,1,0,12,2,-1
3,8,1,0,13,2,-1
3,7,1,0,12,2,-1
1,8,1,0,13,2,-1
1,9,1,0,12,2,-1
0,9,2,0,13,2,-1
1,10,2,0,12,2,-1
3,9,2,0,13,2,-1
1,10,2,0,12,2,-1
2,10,1,0,13,1,-1
3,9,1,1,13,2,-1
0,9,2,0,12,2,-1
1,10,2,0,13,2,-1
0,10,3,1,12,2,-1
2,10,2,0,13,2,-1
2,10,1,1,12,2,-1
3,9,1,1,13,2,-1
3,8,1,0,12,2,-1
3,7,1,0,13,2,-1
3,6,1,0,12,2,-1
0,6,2,0,13,2,-1
0,6,3,0,12,2,-1
0,6,4,1,13,2,-1
1,7,4,0,12,2,-1
0,7,5,0,13,2,-1
0,7,6,0,12,2,-1
1,8,6,1,13,3,-1
0,8,7,0,13,4,-1
0,8,8,0,12,4,-1
0,8,9,1,13,4,-1
2,8,8,0,14,4,-1
0,8,9,1,13,4,-1
0,8,10,0,12,5,-1
0,8,11,0,11,5,-1
0,8,12,0,12,5,-1
1,9,12,0,11,5,-1
3,8,12,0,11,6,-1
0,8,13,0,11,7,-1
0,8,14,0,10,7,-1
2,8,13,0,11,7,-1
0,8,14,0,10,7,-1
2,8,13,0,9,7,-1
0,8,14,0,9,8,-1
2,8,13,1,8,8,-1
0,8,14,1,8,9,-1
2,8,13,1,8,10,-1
0,8,14,1,8,9,-1
1,9,14,1,8,10,-1
3,8,14,1,9,11,-1
3,7,14,1,8,11,999
3,7,14,1,8,11,999
