Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,11,0
3,6,0,0,13,10,-1
0,6,1,0,14,11,-1
1,7,1,0,13,11,-1
2,7,0,0,12,11,-1
0,7,1,0,13,11,-1
1,8,1,0,14,11,-1
2,8,0,0,13,11,-1
0,8,1,0,13,10,-1
3,7,1,0,13,11,-1
3,6,1,0,13,10,-1
0,6,2,0,13,11,-1
0,6,3,0,13,10,-1
0,6,4,0,13,11,-1
0,6,5,0,13,10,-1
0,6,6,0,13,9,-1
0,6,7,0,13,8,-1
1,7,7,0,13,6,-1
0,7,8,0,13,7,-1
1,8,8,0,14,7,-1
0,8,9,0,13,7,-1
1,9,9,0,13,6,-1
0,9,10,0,13,5,-1
0,9,11,0,13,4,-1
0,9,12,0,13,5,-1
3,8,12,0,14,4,-1
0,8,13,0,13,4,-1
0,8,14,0,12,4,-1
1,9,14,0,13,4,-1
3,8,14,0,13,5,-1
2,8,13,1,12,4,-1
0,8,14,0,13,4,-1
3,7,14,0,14,4,999
3,7,14,0,14,4,999
