Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,14,0
3,6,0,0,13,14,-1
0,6,1,0,12,14,-1
0,6,2,0,12,13,-1
3,5,2,0,12,14,-1
3,4,2,0,12,13,-1
2,4,1,0,13,13,-1
2,4,0,0,12,13,-1
3,3,0,0,13,13,-1
3,2,0,0,12,13,-1
3,1,0,0,12,12,-1
3,0,0,0,11,12,-1
1,1,0,0,12,12,-1
3,0,0,0,12,13,-1
1,1,0,0,12,12,-1
0,1,1,0,11,12,-1
2,1,0,1,11,13,-1
1,2,0,1,11,14,-1
0,2,1,1,11,13,-1
0,2,2,1,10,12,-1
3,1,2,1,9,11,-1
2,1,1,1,10,12,-1
3,0,1,1,9,11,-1
2,0,0,1,9,10,-1
0,0,1,1,7,10,-1
0,0,2,0,7,11,-1
1,1,2,1,7,9,-1
3,0,2,1,6,9,-1
2,0,1,1,6,8,-1
2,0,0,1,5,8,-1
0,0,1,0,4,9,-1
2,0,0,0,4,10,-1
1,1,0,0,4,11,-1
0,1,1,0,4,10,-1
0,1,2,0,4,9,-1
0,1,3,0,4,10,-1
3,0,3,0,4,9,-1
1,1,3,0,4,8,-1
1,2,3,1,5,7,-1
2,2,2,1,4,6,-1
2,2,1,1,4,4,-1
3,1,1,1,4,5,-1
2,1,0,1,4,3,-1
3,0,0,1,2,3,-1
1,1,0,1,2,1,-1
3,0,0,1,0,1,-1
1,1,0,1,1,0,-101
1,1,0,1,1,0,-101
