Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,14,0
3,6,0,1,9,13,-1
3,5,0,1,9,11,-1
3,4,0,1,8,12,-1
0,4,1,0,7,13,-1
1,5,1,1,7,12,-1
2,5,0,1,7,10,-1
3,4,0,1,8,11,-1
3,3,0,1,10,11,-1
3,2,0,0,9,12,-1
1,3,0,1,9,11,-1
3,2,0,1,9,10,-1
0,2,1,1,8,9,-1
2,2,0,1,7,8,-1
0,2,1,1,7,6,-1
3,1,1,1,6,6,-1
2,1,0,1,5,5,-1
3,0,0,1,5,4,-1
1,1,0,1,4,4,-1
3,0,0,1,3,4,-1
1,1,0,1,3,2,-1
3,0,0,1,3,3,-1
1,1,0,1,4,2,-1
3,0,0,1,5,3,-1
1,1,0,1,6,2,-1
3,0,0,1,7,2,-1
0,0,1,1,6,2,-1
0,0,2,1,5,2,-1
0,0,3,1,4,2,-1
0,0,4,1,2,2,-1
0,0,5,1,2,3,-1
0,0,6,1,2,4,-1
0,0,7,1,1,5,-1
0,0,8,1,1,6,-1
0,0,9,1,1,7,-1
0,0,10,1,1,6,-1
1,1,10,1,1,7,-1
0,1,11,0,2,8,-1
0,1,12,1,1,8,-1
1,2,12,1,1,9,-1
1,3,12,1,2,11,-1
0,3,13,1,2,12,-1
1,4,13,1,3,12,-1
0,4,14,1,2,13,-1
1,5,14,1,3,13,-1
1,6,14,1,4,13,-1
1,7,14,1,6,13,999
1,7,14,1,6,13,999
