Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,6,0
1,8,0,1,7,6,-1
1,9,0,1,6,5,-1
0,9,1,0,4,5,-1
1,10,1,0,4,4,-1
0,10,2,0,4,3,-1
0,10,3,1,4,2,-1
0,10,4,1,5,2,-1
0,10,5,1,5,1,-1
3,9,5,1,6,1,-1
0,9,6,1,7,1,-1
0,9,7,1,7,0,-1
3,8,7,1,8,1,-1
0,8,8,1,8,2,-1
2,8,7,1,9,3,-1
1,9,7,1,9,5,-1
1,10,7,1,9,6,-1
1,11,7,1,10,6,-1
0,11,8,1,11,7,-1
0,11,9,1,10,6,-1
3,10,9,1,11,6,-1
3,9,9,1,11,7,-1
3,8,9,1,12,8,-1
3,7,9,1,12,7,-1
3,6,9,1,11,7,-1
0,6,10,1,10,7,-1
3,5,10,1,10,8,-1
3,4,10,1,11,8,-1
0,4,11,0,10,8,-1
0,4,12,0,10,7,-1
0,4,13,0,11,7,-1
0,4,14,0,10,7,-1
1,5,14,0,9,7,-1
1,6,14,0,9,8,-1
1,7,14,0,8,8,999
1,7,14,0,8,8,999
