Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,14,0
0,7,1,0,6,13,-1
2,7,0,0,7,13,-1
0,7,1,0,8,13,-1
3,6,1,0,7,13,-1
3,5,1,0,6,13,-1
3,4,1,0,5,13,-1
3,3,1,1,5,12,-1
1,4,1,0,5,11,-1
1,5,1,0,5,10,-1
0,5,2,0,5,9,-1
2,5,1,0,4,9,-1
1,6,1,0,4,8,-1
2,6,0,0,4,7,-1
0,6,1,0,4,8,-1
2,6,0,0,4,9,-1
1,7,0,0,4,8,-1
3,6,0,0,3,8,-1
0,6,1,0,3,7,-1
1,7,1,0,4,7,-1
3,6,1,0,4,6,-1
2,6,0,0,4,5,-1
0,6,1,0,4,4,-1
3,5,1,0,3,3,-1
1,6,1,0,3,2,-1
2,6,0,1,4,1,-1
1,7,0,1,6,1,-1
0,7,1,0,5,2,-1
0,7,2,1,5,1,-1
0,7,3,1,7,1,-1
0,7,4,1,7,2,-1
1,8,4,1,8,3,-1
0,8,5,1,8,4,-1
0,8,6,1,8,6,-101
0,8,6,1,8,6,-101
