Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,1,0
1,8,0,1,4,1,-1
1,9,0,1,5,1,-1
1,10,0,1,6,2,-1
1,11,0,1,7,2,-1
1,12,0,1,7,1,-1
1,13,0,1,6,0,-1
1,14,0,1,7,0,-1
0,14,1,1,9,0,-1
0,14,2,1,9,1,-1
0,14,3,1,11,1,-1
0,14,4,1,12,1,-1
0,14,5,1,12,2,-1
0,14,6,1,11,3,-1
2,14,5,1,11,2,-1
0,14,6,1,12,3,-1
0,14,7,1,13,4,-1
0,14,8,1,13,3,-1
0,14,9,1,13,4,-1
0,14,10,0,12,4,-1
3,13,10,1,14,6,-1
3,12,10,1,14,8,-1
0,12,11,1,14,9,-1
0,12,12,1,14,10,-1
3,11,12,1,12,10,-1
0,11,13,1,12,12,-1
3,10,13,1,11,12,-1
0,10,14,1,11,13,-1
3,9,14,1,11,11,-1
2,9,13,1,11,12,-1
0,9,14,1,10,13,-1
3,8,14,1,9,13,-1
3,7,14,1,8,13,999
3,7,14,1,8,13,999
