Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,2,0,-1
1,9,0,1,4,0,-1
0,9,1,1,6,0,-1
0,9,2,1,8,0,-1
0,9,3,1,8,1,-1
0,9,4,1,8,2,-1
1,10,4,1,9,2,-1
1,11,4,0,9,3,-1
1,12,4,1,9,4,-1
2,12,3,1,10,4,-1
1,13,3,0,9,3,-1
1,14,3,0,9,2,-1
0,14,4,0,10,2,-1
0,14,5,0,10,1,-1
0,14,6,0,10,2,-1
0,14,7,0,10,1,-1
0,14,8,0,10,2,-1
0,14,9,0,10,1,-1
0,14,10,0,10,0,-1
0,14,11,0,10,1,-1
0,14,12,0,10,2,-1
3,13,12,1,9,2,-1
0,13,13,0,9,4,-1
3,12,13,0,8,4,-1
0,12,14,1,8,5,-1
3,11,14,0,8,7,-1
3,10,14,0,9,7,-1
1,11,14,1,9,8,-1
2,11,13,0,8,7,-1
0,11,14,1,9,7,-1
3,10,14,0,9,8,-1
3,9,14,0,9,9,-1
3,8,14,0,9,11,-1
3,7,14,1,8,12,999
3,7,14,1,8,12,999
