Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,14,0
3,6,0,1,9,13,-1
3,5,0,1,9,11,-1
3,4,0,1,9,10,-1
3,3,0,0,8,10,-1
0,3,1,0,8,9,-1
0,3,2,0,8,8,-1
3,2,2,1,7,8,-1
3,1,2,1,5,8,-1
2,1,1,1,5,7,-1
3,0,1,0,6,6,-1
2,0,0,1,4,8,-1
1,1,0,1,4,6,-1
3,0,0,1,4,4,-1
1,1,0,1,3,3,-1
3,0,0,1,2,2,-1
1,1,0,1,1,3,-1
1,2,0,1,1,1,-1
1,3,0,1,0,1,-1
1,4,0,1,2,1,-1
1,5,0,1,4,1,-1
1,6,0,1,4,2,-1
1,7,0,1,5,1,-1
1,8,0,1,7,1,-1
1,9,0,1,6,0,-1
1,10,0,1,8,0,-1
1,11,0,1,9,0,-1
1,12,0,1,8,0,-1
1,13,0,1,9,1,-1
1,14,0,1,11,1,-1
0,14,1,1,12,1,-1
0,14,2,1,13,0,-1
0,14,3,1,14,1,-1
0,14,4,1,14,2,-1
0,14,5,1,14,3,-1
0,14,6,1,14,5,-1
0,14,7,1,14,7,-101
0,14,7,1,14,7,-101
