Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,14,0
1,8,0,0,7,14,-1
3,7,0,0,7,13,-1
1,8,0,0,6,13,-1
0,8,1,0,6,14,-1
2,8,0,0,6,13,-1
1,9,0,0,7,13,-1
1,10,0,0,6,13,-1
0,10,1,0,6,12,-1
1,11,1,0,6,13,-1
3,10,1,0,6,14,-1
0,10,2,0,6,13,-1
0,10,3,0,6,12,-1
1,11,3,0,6,13,-1
3,10,3,0,6,14,-1
0,10,4,0,7,14,-1
1,11,4,0,6,14,-1
1,12,4,0,7,14,-1
1,13,4,0,8,14,-1
0,13,5,0,8,13,-1
0,13,6,0,8,12,-1
0,13,7,0,9,12,-1
0,13,8,0,9,13,-1
1,14,8,0,8,13,-1
0,14,9,1,9,13,-1
2,14,8,0,10,13,-1
2,14,7,0,10,14,-1
2,14,6,0,10,13,-1
0,14,7,0,10,12,-1
0,14,8,0,9,12,-1
0,14,9,1,10,12,-1
2,14,8,0,10,11,-1
3,13,8,0,11,11,-1
2,13,7,0,12,11,-1
3,12,7,0,13,11,-1
3,11,7,0,13,10,-1
1,12,7,1,14,10,-1
3,11,7,0,13,9,-1
3,10,7,0,13,8,-1
0,10,8,0,13,7,-1
0,10,9,0,13,6,-1
3,9,9,0,14,6,-1
3,8,9,0,13,6,-1
0,8,10,1,12,6,-1
0,8,11,1,11,7,-1
0,8,12,0,10,8,-1
0,8,13,0,10,9,-1
2,8,12,0,10,10,-1
0,8,13,0,9,10,-1
2,8,12,1,8,10,-1
0,8,13,0,9,10,-1
2,8,12,1,8,10,-1
0,8,13,1,8,12,-1
0,8,14,1,8,11,-1
3,7,14,1,8,12,999
3,7,14,1,8,12,999
