Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,9,0
3,6,0,1,13,8,-1
3,5,0,1,11,8,-1
3,4,0,1,10,9,-1
3,3,0,1,10,8,-1
3,2,0,1,9,9,-1
3,1,0,1,8,8,-1
3,0,0,1,7,9,-1
0,0,1,1,6,8,-1
2,0,0,1,6,7,-1
0,0,1,1,5,6,-1
2,0,0,1,5,5,-1
1,1,0,1,4,4,-1
3,0,0,1,3,4,-1
0,0,1,1,2,3,-1
2,0,0,1,2,5,-1
1,1,0,1,2,7,-1
1,2,0,1,2,6,-1
1,3,0,1,2,5,-1
1,4,0,1,2,4,-1
1,5,0,1,2,2,-1
1,6,0,1,3,2,-1
1,7,0,1,4,2,-1
1,8,0,1,3,1,-1
1,9,0,1,4,1,-1
1,10,0,1,6,1,-1
1,11,0,1,8,1,-1
1,12,0,1,8,0,-1
1,13,0,1,9,1,-1
1,14,0,1,8,1,-1
0,14,1,1,9,1,-1
0,14,2,1,8,2,-1
0,14,3,1,9,2,-1
0,14,4,1,10,1,-1
0,14,5,1,11,2,-1
0,14,6,1,12,2,-1
0,14,7,1,12,3,-1
0,14,8,1,12,5,-1
0,14,9,1,12,4,-1
0,14,10,1,11,5,-1
3,13,10,1,12,4,-1
3,12,10,1,12,6,-1
0,12,11,1,12,7,-1
0,12,12,1,12,6,-1
3,11,12,1,12,7,-1
3,10,12,1,12,9,-1
3,9,12,1,12,10,-1
0,9,13,1,12,11,-1
3,8,13,1,10,11,-1
3,7,13,1,9,12,-1
0,7,14,1,8,12,999
0,7,14,1,8,12,999
