Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,13,0
0,7,1,0,9,12,-1
2,7,0,1,9,11,-1
3,6,0,0,8,11,-1
0,6,1,0,8,10,-1
2,6,0,0,8,11,-1
3,5,0,1,8,9,-1
3,4,0,1,8,8,-1
3,3,0,1,7,8,-1
1,4,0,1,7,7,-1
3,3,0,1,7,6,-1
3,2,0,0,8,5,-1
1,3,0,1,7,5,-1
3,2,0,1,7,6,-1
1,3,0,0,8,5,-1
1,4,0,0,8,4,-1
3,3,0,1,7,1,-1
3,2,0,1,8,1,-1
3,1,0,1,6,1,-1
3,0,0,1,5,1,-1
0,0,1,0,5,0,-1
2,0,0,1,3,0,-1
0,0,1,1,1,0,-1
0,0,2,1,1,1,-1
0,0,3,1,0,0,-1
0,0,4,1,0,1,-1
0,0,5,1,0,3,-1
0,0,6,1,1,2,-1
0,0,7,1,1,3,-1
0,0,8,1,1,4,-1
0,0,9,1,1,6,-1
0,0,10,1,1,7,-1
1,1,10,1,1,9,-1
1,2,10,1,0,9,-1
1,3,10,1,0,8,-1
1,4,10,1,1,8,-1
0,4,11,1,2,9,-1
0,4,12,0,2,8,-1
1,5,12,1,2,9,-1
1,6,12,1,4,9,-1
0,6,13,1,4,11,-1
3,5,13,1,5,12,-1
1,6,13,1,6,12,-1
0,6,14,1,6,13,-1
1,7,14,1,7,13,999
1,7,14,1,7,13,999
