Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,13,0
0,7,1,0,8,13,-1
2,7,0,0,9,13,-1
0,7,1,0,10,13,-1
2,7,0,1,11,12,-1
3,6,0,0,11,13,-1
1,7,0,1,11,12,-1
3,6,0,0,10,12,-1
1,7,0,1,10,11,-1
0,7,1,1,10,10,-1
1,8,1,1,10,9,-1
2,8,0,1,10,10,-1
3,7,0,1,10,9,-1
1,8,0,1,10,10,-1
3,7,0,1,10,8,-1
1,8,0,1,11,7,-1
3,7,0,1,11,6,-1
3,6,0,1,12,5,-1
3,5,0,1,11,5,-1
3,4,0,1,10,5,-1
1,5,0,1,9,4,-1
3,4,0,0,8,4,-1
1,5,0,1,8,3,-1
3,4,0,1,8,2,-1
3,3,0,1,8,1,-1
3,2,0,1,6,1,-1
3,1,0,1,6,2,-1
1,2,0,1,6,3,-1
1,3,0,1,5,2,-1
3,2,0,1,5,1,-1
1,3,0,1,4,1,-1
3,2,0,1,3,1,-1
3,1,0,1,3,0,-1
3,0,0,0,3,2,-1
1,1,0,1,3,1,-1
1,2,0,1,3,0,-1
3,1,0,1,2,0,-1
0,1,1,1,1,0,-1
0,1,2,1,1,1,-1
0,1,3,1,1,0,-1
0,1,4,1,0,0,-1
1,2,4,1,0,1,-1
1,3,4,0,1,1,-1
0,3,5,1,1,2,-1
1,4,5,1,1,3,-1
1,5,5,1,3,3,-1
1,6,5,1,5,3,-1
1,7,5,1,6,3,-1
0,7,6,1,6,5,-1
0,7,7,1,6,6,-1
0,7,8,1,6,7,-1
0,7,9,1,6,8,-1
0,7,10,1,5,8,-1
0,7,11,1,6,7,-1
0,7,12,1,6,9,-1
0,7,13,1,6,11,-1
0,7,14,1,6,12,999
0,7,14,1,6,12,999
