Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,1,-1
1,9,0,1,2,1,-1
0,9,1,1,3,1,-1
1,10,1,1,4,0,-1
0,10,2,1,5,0,-1
0,10,3,1,6,1,-1
0,10,4,1,6,0,-1
0,10,5,1,7,0,-1
3,9,5,1,7,1,-1
0,9,6,1,7,2,-1
0,9,7,1,7,1,-1
3,8,7,0,5,1,-1
0,8,8,0,5,2,-1
2,8,7,0,6,2,-1
1,9,7,0,4,2,-1
1,10,7,0,4,1,-1
1,11,7,0,4,2,-1
0,11,8,0,4,1,-1
0,11,9,0,4,0,-1
3,10,9,0,4,1,-1
3,9,9,0,4,2,-1
3,8,9,1,3,2,-1
3,7,9,0,4,2,-1
3,6,9,0,5,2,-1
0,6,10,0,6,2,-1
3,5,10,0,7,2,-1
3,4,10,0,7,3,-1
0,4,11,0,7,4,-1
0,4,12,0,7,3,-1
0,4,13,0,7,4,-1
0,4,14,1,8,4,-1
1,5,14,0,9,4,-1
1,6,14,0,9,3,-1
1,7,14,0,8,3,999
1,7,14,0,8,3,999
