Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,7,11,0
0,7,1,0,6,11,-1
3,6,1,0,5,11,-1
1,7,1,0,5,10,-1
0,7,2,0,4,10,-1
2,7,1,0,3,10,-1
1,8,1,0,2,10,-1
2,8,0,0,3,10,-1
0,8,1,0,4,10,-1
2,8,0,0,5,10,-1
3,7,0,0,5,11,-1
1,8,0,0,6,11,-1
1,9,0,0,6,10,-1
0,9,1,0,7,10,-1
1,10,1,0,6,10,-1
1,11,1,0,5,10,-1
2,11,0,0,6,10,-1
3,10,0,0,5,10,-1
0,10,1,0,6,10,-1
3,9,1,0,7,10,-1
0,9,2,0,7,9,-1
3,8,2,0,8,9,-1
1,9,2,0,7,9,-1
1,10,2,0,7,10,-1
3,9,2,0,7,11,-1
0,9,3,0,7,10,-1
2,9,2,0,7,11,-1
0,9,3,0,8,11,-1
3,8,3,0,7,11,-1
1,9,3,0,7,12,-1
2,9,2,0,8,12,-1
2,9,1,0,7,12,-1
0,9,2,0,7,11,-1
0,9,3,0,7,12,-1
3,8,3,0,8,12,-1
1,9,3,0,8,11,-1
3,8,3,0,8,12,-1
2,8,2,0,9,12,-1
1,9,2,0,8,12,-1
1,10,2,0,7,12,-1
3,9,2,0,7,11,-1
1,10,2,0,7,10,-1
0,10,3,0,7,9,-1
1,11,3,0,8,9,-1
1,12,3,0,7,9,-1
1,13,3,0,8,9,-1
3,12,3,0,7,9,-1
0,12,4,0,8,9,-1
0,12,5,0,7,9,-1
1,13,5,0,7,10,-1
3,12,5,0,6,10,-1
1,13,5,0,7,10,-1
1,14,5,0,7,9,-1
3,13,5,0,8,9,-1
2,13,4,0,7,9,-1
1,14,4,0,8,9,-1
0,14,5,0,7,9,-1
2,14,4,0,7,10,-1
0,14,5,0,6,10,-1
3,13,5,0,7,10,-1
2,13,4,0,7,9,-1
0,13,5,0,8,9,-1
2,13,4,0,7,9,-1
0,13,5,0,7,10,-1
2,13,4,0,6,10,-1
1,14,4,0,5,10,-1
0,14,5,0,6,10,-1
2,14,4,0,7,10,-1
3,13,4,0,6,10,-1
1,14,4,0,7,10,-1
3,13,4,0,7,11,-1
1,14,4,0,7,10,-1
2,14,3,0,7,9,-1
0,14,4,0,7,10,-1
3,13,4,0,6,10,-1
2,13,3,0,6,11,-1
0,13,4,0,6,10,-1
3,12,4,0,5,10,-1
1,13,4,0,6,10,-1
1,14,4,0,6,11,-1
0,14,5,0,6,10,-1
2,14,4,0,5,10,-1
0,14,5,0,6,10,-1
0,14,6,0,7,10,-1
2,14,5,0,6,10,-1
0,14,6,0,5,10,-1
0,14,7,0,4,10,-1
0,14,8,0,5,10,-1
3,13,8,0,6,10,-1
1,14,8,0,5,10,-1
0,14,9,0,4,10,-1
0,14,10,0,3,10,-1
0,14,11,0,2,10,-1
0,14,12,1,3,11,-1
0,14,13,1,4,11,-1
0,14,14,1,5,11,-1
3,13,14,1,7,11,-1
3,12,14,1,9,11,-1
3,11,14,1,9,12,-1
3,10,14,1,9,13,-1
3,9,14,1,9,14,-101
3,9,14,1,9,14,-101
