Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,14,0
3,6,0,0,9,13,-1
3,5,0,0,9,11,-1
3,4,0,0,9,10,-1
3,3,0,0,9,9,-1
3,2,0,0,9,8,-1
3,1,0,0,9,9,-1
3,0,0,0,10,9,-1
0,0,1,0,10,8,-1
0,0,2,0,10,7,-1
0,0,3,0,10,6,-1
0,0,4,0,9,6,-1
0,0,5,0,9,5,-1
0,0,6,0,9,4,-1
0,0,7,0,8,4,-1
0,0,8,0,7,4,-1
0,0,9,0,6,4,-1
2,0,8,1,5,4,-1
0,0,9,0,4,4,-1
0,0,10,0,3,5,-1
1,1,10,0,3,6,-1
1,2,10,0,2,6,-1
0,2,11,0,1,6,-1
0,2,12,0,2,6,-1
1,3,12,0,3,6,-1
0,3,13,0,3,5,-1
1,4,13,0,3,4,-1
1,5,13,0,3,5,-1
1,6,13,0,3,6,-1
1,7,13,0,2,6,-1
3,6,13,0,2,5,-1
1,7,13,0,2,6,-1
3,6,13,0,1,6,-1
1,7,13,0,1,7,-1
3,6,13,0,1,8,-1
1,7,13,0,1,7,-1
3,6,13,0,1,6,-1
1,7,13,0,0,6,-1
3,6,13,0,0,7,-1
1,7,13,0,0,8,-1
3,6,13,0,0,7,-1
2,6,12,0,1,7,-1
0,6,13,0,0,7,-1
0,6,14,0,1,7,-1
2,6,13,0,0,7,-1
0,6,14,0,0,8,-1
2,6,13,0,0,7,-1
0,6,14,0,0,8,-1
2,6,13,1,0,9,-1
0,6,14,1,1,10,-1
2,6,13,1,2,10,-1
0,6,14,1,3,10,-1
1,7,14,1,4,11,999
1,7,14,1,4,11,999
