Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,9,6,0
3,6,0,1,10,5,-1
3,5,0,1,9,4,-1
3,4,0,1,8,4,-1
3,3,0,1,8,3,-1
3,2,0,1,6,3,-1
3,1,0,1,7,2,-1
3,0,0,1,5,2,-1
0,0,1,1,5,1,-1
0,0,2,1,5,0,-1
0,0,3,1,4,0,-1
0,0,4,1,3,0,-1
0,0,5,1,4,1,-1
0,0,6,1,3,0,-1
1,1,6,1,3,1,-1
0,1,7,1,3,2,-1
0,1,8,1,3,4,-1
0,1,9,1,3,5,-1
3,0,9,1,4,6,-1
0,0,10,1,4,5,-1
0,0,11,1,4,6,-1
0,0,12,1,4,7,-1
1,1,12,1,3,8,-1
1,2,12,1,3,10,-1
1,3,12,1,4,11,-1
0,3,13,1,5,12,-1
0,3,14,1,4,12,-1
1,4,14,1,4,14,-101
1,4,14,1,4,14,-101
