Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,1,0,1,-1
0,7,2,0,1,1,-1
0,7,3,0,3,1,-1
0,7,4,0,4,1,-1
3,6,4,0,3,1,-1
0,6,5,0,4,1,-1
0,6,6,0,5,1,-1
3,5,6,0,6,1,-1
3,4,6,0,6,2,-1
2,4,5,1,7,2,-1
0,4,6,0,6,3,-1
0,4,7,0,6,4,-1
0,4,8,0,5,4,-1
1,5,8,0,4,4,-1
0,5,9,1,4,5,-1
0,5,10,1,4,6,-1
0,5,11,0,4,8,-1
0,5,12,1,5,8,-1
0,5,13,0,4,7,-1
0,5,14,0,4,8,-1
1,6,14,1,4,7,-1
3,5,14,0,4,8,-1
1,6,14,0,5,8,-1
3,5,14,0,4,7,-1
1,6,14,1,4,6,-1
3,5,14,0,4,8,-1
1,6,14,0,5,8,-1
3,5,14,1,5,10,-1
1,6,14,1,5,11,-1
1,7,14,0,7,11,999
1,7,14,0,7,11,999
