Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,10,14,0
1,8,0,0,10,13,-1
1,9,0,0,10,12,-1
1,10,0,0,10,13,-1
0,10,1,0,10,14,-1
1,11,1,0,11,14,-1
0,11,2,0,11,13,-1
0,11,3,0,10,13,-1
0,11,4,0,10,12,-1
0,11,5,0,10,13,-1
1,12,5,0,10,12,-1
1,13,5,0,10,11,-1
1,14,5,0,10,12,-1
3,13,5,0,10,11,-1
3,12,5,0,9,11,-1
3,11,5,0,10,11,-1
3,10,5,0,10,12,-1
3,9,5,0,10,11,-1
3,8,5,0,11,11,-1
3,7,5,0,12,11,-1
0,7,6,0,12,10,-1
3,6,6,0,11,10,-1
0,6,7,0,11,11,-1
3,5,7,0,12,11,-1
0,5,8,0,13,11,-1
0,5,9,0,14,11,-1
0,5,10,0,14,10,-1
1,6,10,0,13,10,-1
0,6,11,0,12,10,-1
0,6,12,0,12,11,-1
0,6,13,0,11,11,-1
0,6,14,0,12,11,-1
1,7,14,0,12,10,999
1,7,14,0,12,10,999
