Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,5,0
1,8,0,0,1,5,-1
1,9,0,0,2,5,-1
1,10,0,0,1,5,-1
1,11,0,0,2,5,-1
1,12,0,0,2,4,-1
1,13,0,0,1,4,-1
1,14,0,0,1,3,-1
0,14,1,0,1,2,-1
0,14,2,1,1,1,-1
0,14,3,0,1,2,-1
0,14,4,0,1,3,-1
0,14,5,0,0,3,-1
0,14,6,0,1,2,-1
0,14,7,0,2,2,-1
0,14,8,0,1,2,-1
0,14,9,0,2,2,-1
2,14,8,0,3,3,-1
0,14,9,0,4,4,-1
0,14,10,0,4,5,-1
0,14,11,0,5,5,-1
0,14,12,0,6,5,-1
0,14,13,0,6,6,-1
3,13,13,0,6,5,-1
0,13,14,0,7,5,-1
1,14,14,0,8,5,-1
3,13,14,0,9,5,-1
3,12,14,0,10,5,-1
3,11,14,0,9,5,-1
3,10,14,0,11,5,-1
3,9,14,0,13,5,-1
3,8,14,0,14,5,-1
3,7,14,0,13,5,999
3,7,14,0,13,5,999
