Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,2,0,-1
1,9,0,1,1,1,-1
1,10,0,1,3,1,-1
0,10,1,1,3,0,-1
1,11,1,1,5,0,-1
0,11,2,0,6,0,-1
0,11,3,0,6,1,-1
0,11,4,0,5,1,-1
1,12,4,0,6,1,-1
0,12,5,0,6,2,-1
1,13,5,0,7,2,-1
1,14,5,0,8,2,-1
0,14,6,0,9,2,-1
0,14,7,0,9,1,-1
0,14,8,0,10,1,-1
0,14,9,0,11,1,-1
3,13,9,0,11,2,-1
0,13,10,0,12,2,-1
3,12,10,0,13,2,-1
0,12,11,0,13,1,-1
3,11,11,1,12,1,-1
3,10,11,0,11,1,-1
0,10,12,0,10,1,-1
0,10,13,0,11,1,-1
3,9,13,0,12,1,-1
3,8,13,0,11,1,-1
3,7,13,0,12,1,-1
0,7,14,0,11,1,999
0,7,14,0,11,1,999
