Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,7,11,0
3,6,0,0,7,12,-1
0,6,1,0,7,11,-1
2,6,0,0,6,11,-1
0,6,1,0,7,11,-1
0,6,2,0,7,12,-1
2,6,1,0,7,11,-1
1,7,1,0,6,11,-1
1,8,1,0,5,11,-1
1,9,1,0,5,10,-1
3,8,1,0,5,11,-1
2,8,0,0,6,11,-1
0,8,1,0,5,11,-1
3,7,1,0,4,11,-1
2,7,0,0,3,11,-1
0,7,1,0,4,11,-1
2,7,0,0,3,11,-1
1,8,0,0,4,11,-1
3,7,0,0,5,11,-1
0,7,1,0,5,12,-1
1,8,1,0,6,12,-1
1,9,1,0,6,11,-1
3,8,1,0,5,11,-1
0,8,2,0,4,11,-1
0,8,3,0,5,11,-1
0,8,4,0,5,10,-1
3,7,4,0,5,11,-1
1,8,4,0,5,12,-1
0,8,5,0,6,12,-1
0,8,6,0,6,11,-1
1,9,6,0,7,11,-1
1,10,6,0,6,11,-1
3,9,6,0,5,11,-1
3,8,6,0,5,10,-1
0,8,7,0,5,11,-1
0,8,8,0,6,11,-1
3,7,8,0,7,11,-1
1,8,8,0,6,11,-1
3,7,8,0,7,11,-1
1,8,8,0,6,11,-1
3,7,8,0,6,12,-1
3,6,8,0,6,11,-1
3,5,8,0,7,11,-1
2,5,7,0,7,12,-1
3,4,7,0,7,11,-1
3,3,7,1,6,11,-1
1,4,7,0,7,12,-1
1,5,7,0,7,11,-1
2,5,6,0,6,11,-1
3,4,6,0,5,11,-1
0,4,7,0,5,10,-1
2,4,6,0,5,11,-1
1,5,6,0,6,11,-1
0,5,7,0,5,11,-1
2,5,6,0,5,10,-1
0,5,7,0,5,11,-1
3,4,7,0,5,10,-1
1,5,7,0,5,11,-1
1,6,7,0,4,11,-1
3,5,7,0,5,11,-1
3,4,7,0,5,10,-1
0,4,8,0,4,11,-1
1,5,8,0,3,11,-1
3,4,8,1,3,9,-1
2,4,7,1,4,9,-1
3,3,7,1,3,8,-1
1,4,7,1,3,7,-1
2,4,6,1,4,8,-1
3,3,6,1,3,7,-1
3,2,6,1,3,6,-1
3,1,6,1,4,7,-1
2,1,5,1,3,6,-1
1,2,5,1,2,6,-1
3,1,5,1,1,6,-1
1,2,5,1,1,5,-1
0,2,6,1,2,6,-101
0,2,6,1,2,6,-101
