Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,7,11,0
0,7,1,0,7,12,-1
1,8,1,0,7,11,-1
0,8,2,0,6,11,-1
0,8,3,0,7,11,-1
0,8,4,0,6,11,-1
3,7,4,0,5,11,-1
1,8,4,0,4,11,-1
0,8,5,0,3,11,-1
1,9,5,0,3,12,-1
1,10,5,0,3,11,-1
0,10,6,0,3,10,-1
1,11,6,0,3,9,-1
0,11,7,0,4,9,-1
1,12,7,0,4,8,-1
2,12,6,0,5,8,-1
1,13,6,0,6,8,-1
0,13,7,0,6,7,-1
0,13,8,0,5,7,-1
0,13,9,0,5,8,-1
1,14,9,0,5,7,-1
0,14,10,0,5,6,-1
0,14,11,0,4,6,-1
3,13,11,0,5,6,-1
3,12,11,0,4,6,-1
3,11,11,0,5,6,-1
0,11,12,0,5,7,-1
3,10,12,0,6,7,-1
0,10,13,0,6,8,-1
3,9,13,0,6,7,-1
0,9,14,0,6,8,-1
2,9,13,0,7,8,-1
3,8,13,0,8,8,-1
3,7,13,0,8,9,-1
0,7,14,0,8,8,999
0,7,14,0,8,8,999
