Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,9,0
0,7,1,0,0,10,-1
0,7,2,0,0,9,-1
0,7,3,0,0,8,-1
0,7,4,1,1,8,-1
0,7,5,0,2,8,-1
1,8,5,0,3,8,-1
1,9,5,0,2,8,-1
2,9,4,0,1,8,-1
0,9,5,0,2,8,-1
0,9,6,0,2,9,-1
0,9,7,0,2,10,-1
3,8,7,0,2,9,-1
0,8,8,0,3,9,-1
0,8,9,0,4,9,-1
1,9,9,0,4,10,-1
2,9,8,0,4,9,-1
3,8,8,0,4,10,-1
2,8,7,0,4,9,-1
1,9,7,0,4,10,-1
0,9,8,0,4,11,-1
0,9,9,0,4,12,-1
3,8,9,0,4,11,-1
0,8,10,1,4,10,-1
0,8,11,0,5,10,-1
1,9,11,0,4,11,-1
0,9,12,0,3,11,-1
3,8,12,0,4,11,-1
3,7,12,0,4,10,-1
3,6,12,0,5,10,-1
0,6,13,0,6,10,-1
1,7,13,0,5,10,-1
0,7,14,0,6,10,999
0,7,14,0,6,10,999
