Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,4,14,0
1,8,0,0,4,13,-1
0,8,1,0,4,14,-1
2,8,0,0,4,13,-1
0,8,1,0,4,14,-1
1,9,1,0,4,13,-1
3,8,1,0,4,14,-1
0,8,2,0,4,13,-1
0,8,3,0,4,14,-1
0,8,4,0,4,13,-1
3,7,4,0,4,14,-1
1,8,4,0,4,13,-1
0,8,5,0,4,14,-1
0,8,6,0,4,13,-1
1,9,6,0,4,14,-1
1,10,6,0,4,13,-1
1,11,6,0,4,14,-1
1,12,6,0,4,13,-1
3,11,6,0,4,14,-1
0,11,7,0,5,14,-1
1,12,7,0,4,14,-1
1,13,7,0,4,13,-1
0,13,8,0,4,14,-1
0,13,9,0,4,13,-1
2,13,8,0,4,14,-1
0,13,9,0,4,13,-1
2,13,8,0,4,14,-1
2,13,7,0,5,14,-1
0,13,8,0,6,14,-1
2,13,7,0,6,13,-1
0,13,8,0,7,13,-1
0,13,9,0,6,13,-1
1,14,9,0,6,12,-1
0,14,10,0,6,11,-1
0,14,11,0,5,11,-1
0,14,12,0,6,11,-1
3,13,12,0,7,11,-1
0,13,13,0,7,12,-1
2,13,12,0,7,11,-1
2,13,11,0,7,12,-1
0,13,12,0,7,11,-1
2,13,11,0,7,12,-1
0,13,12,0,7,11,-1
2,13,11,0,7,12,-1
3,12,11,0,7,11,-1
3,11,11,0,7,12,-1
0,11,12,0,8,12,-1
2,11,11,0,7,12,-1
3,10,11,0,6,12,-1
1,11,11,0,6,11,-1
3,10,11,0,5,11,-1
0,10,12,0,5,10,-1
1,11,12,0,5,11,-1
2,11,11,0,4,11,-1
3,10,11,0,5,11,-1
0,10,12,0,5,10,-1
2,10,11,0,5,11,-1
1,11,11,0,6,11,-1
0,11,12,0,7,11,-1
2,11,11,0,6,11,-1
0,11,12,0,7,11,-1
3,10,12,0,6,11,-1
0,10,13,0,7,11,-1
0,10,14,1,7,12,-1
3,9,14,1,8,13,-1
1,10,14,1,9,13,-1
3,9,14,1,9,14,-101
3,9,14,1,9,14,-101
