Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,8,9,0
1,8,0,0,7,9,-1
1,9,0,0,8,9,-1
1,10,0,0,7,9,-1
1,11,0,0,7,10,-1
1,12,0,0,6,10,-1
0,12,1,0,5,10,-1
1,13,1,0,6,10,-1
0,13,2,0,7,10,-1
0,13,3,0,7,9,-1
0,13,4,0,8,9,-1
0,13,5,0,7,9,-1
0,13,6,0,6,9,-1
2,13,5,0,7,9,-1
0,13,6,0,6,9,-1
3,12,6,0,6,8,-1
1,13,6,0,7,8,-1
0,13,7,0,7,7,-1
2,13,6,0,7,8,-1
2,13,5,0,8,8,-1
0,13,6,0,7,8,-1
3,12,6,0,7,7,-1
2,12,5,0,7,8,-1
1,13,5,0,7,9,-1
0,13,6,0,7,8,-1
3,12,6,0,6,8,-1
3,11,6,0,7,8,-1
1,12,6,0,6,8,-1
1,13,6,0,7,8,-1
2,13,5,0,6,8,-1
0,13,6,0,6,9,-1
0,13,7,0,7,9,-1
2,13,6,0,8,9,-1
1,14,6,0,8,8,-1
3,13,6,0,7,8,-1
3,12,6,0,8,8,-1
1,13,6,0,8,7,-1
2,13,5,0,8,8,-1
0,13,6,0,8,9,-1
1,14,6,0,8,8,-1
3,13,6,0,8,7,-1
2,13,5,0,8,6,-1
3,12,5,0,8,5,-1
0,12,6,0,8,4,-1
2,12,5,0,8,5,-1
1,13,5,0,8,6,-1
0,13,6,0,8,5,-1
0,13,7,0,8,4,-1
0,13,8,0,7,4,-1
0,13,9,0,6,4,-1
0,13,10,0,7,4,-1
2,13,9,0,7,3,-1
0,13,10,0,6,3,-1
1,14,10,0,7,3,-1
0,14,11,0,7,4,-1
2,14,10,0,8,4,-1
0,14,11,0,8,5,-1
0,14,12,0,8,4,-1
2,14,11,0,7,4,-1
2,14,10,0,6,4,-1
0,14,11,0,5,4,-1
2,14,10,0,4,4,-1
0,14,11,0,4,5,-1
0,14,12,0,4,4,-1
0,14,13,0,5,4,-1
3,13,13,0,4,4,-1
3,12,13,0,5,4,-1
3,11,13,0,6,4,-1
3,10,13,0,6,5,-1
3,9,13,0,6,6,-1
2,9,12,0,5,6,-1
1,10,12,1,6,6,-1
2,10,11,0,5,6,-1
0,10,12,1,6,6,-1
2,10,11,0,4,6,-1
0,10,12,0,5,6,-1
2,10,11,1,6,6,-1
0,10,12,0,5,6,-1
2,10,11,1,6,6,-1
0,10,12,0,5,6,-1
2,10,11,1,6,6,-1
0,10,12,0,5,6,-1
2,10,11,1,6,6,-1
0,10,12,0,4,6,-1
2,10,11,0,4,7,-1
0,10,12,0,4,8,-1
0,10,13,0,4,7,-1
1,11,13,0,4,8,-1
3,10,13,0,4,9,-1
0,10,14,1,4,10,-1
2,10,13,0,5,10,-1
3,9,13,0,6,10,-1
3,8,13,0,7,10,-1
0,8,14,1,6,10,-1
3,7,14,1,5,10,999
3,7,14,1,5,10,999
