Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,1,0,-1
1,8,1,0,1,1,-1
1,9,1,0,0,1,-1
1,10,1,1,0,0,-1
0,10,2,0,0,1,-1
1,11,2,0,0,2,-1
1,12,2,0,0,1,-1
0,12,3,0,1,1,-1
0,12,4,0,2,1,-1
0,12,5,0,2,0,-1
0,12,6,0,1,0,-1
2,12,5,0,1,1,-1
0,12,6,0,2,1,-1
2,12,5,0,3,1,-1
0,12,6,0,4,1,-1
1,13,6,0,4,0,-1
0,13,7,0,3,0,-1
3,12,7,0,2,0,-1
3,11,7,0,2,1,-1
0,11,8,1,3,2,-1
3,10,8,1,2,2,-1
0,10,9,0,3,2,-1
0,10,10,0,4,2,-1
0,10,11,0,5,2,-1
0,10,12,1,5,4,-1
0,10,13,1,5,6,-1
3,9,13,1,5,7,-1
0,9,14,1,5,9,-1
3,8,14,1,5,11,-1
3,7,14,1,5,12,999
3,7,14,1,5,12,999
