Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,0,1,-1
1,8,1,0,0,1,-1
0,8,2,0,0,1,-1
1,9,2,0,0,0,-1
1,10,2,0,0,1,-1
1,11,2,0,0,2,-1
1,12,2,0,0,2,-1
0,12,3,0,0,2,-1
0,12,4,0,0,1,-1
0,12,5,0,0,1,-1
1,13,5,0,0,1,-1
3,12,5,0,0,0,-1
0,12,6,0,0,1,-1
2,12,5,0,0,0,-1
1,13,5,0,0,1,-1
3,12,5,0,0,0,-1
1,13,5,0,0,0,-1
1,14,5,0,0,1,-1
0,14,6,0,0,2,-1
2,14,5,0,0,2,-1
2,14,4,0,0,2,-1
0,14,5,0,0,3,-1
3,13,5,0,0,3,-1
3,12,5,0,1,3,-1
0,12,6,0,2,3,-1
0,12,7,0,3,3,-1
3,11,7,0,4,3,-1
3,10,7,1,5,3,-1
0,10,8,1,6,4,-1
0,10,9,0,7,5,-1
0,10,10,0,6,5,-1
3,9,10,1,6,6,-1
0,9,11,1,6,7,-1
3,8,11,1,6,8,-1
3,7,11,1,6,10,-1
0,7,12,1,6,11,-1
0,7,13,1,7,12,-1
0,7,14,1,7,13,999
0,7,14,1,7,13,999
