Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,1,0,-1
1,8,1,1,2,0,-1
0,8,2,0,1,0,-1
0,8,3,0,0,0,-1
0,8,4,0,0,1,-1
3,7,4,0,1,1,-1
1,8,4,0,2,1,-1
0,8,5,0,4,1,-1
1,9,5,0,4,2,-1
1,10,5,0,3,2,-1
0,10,6,0,4,2,-1
1,11,6,0,4,1,-1
0,11,7,0,4,2,-1
1,12,7,0,4,1,-1
2,12,6,0,4,2,-1
1,13,6,0,4,1,-1
0,13,7,0,4,0,-1
0,13,8,0,4,1,-1
0,13,9,0,4,2,-1
1,14,9,0,4,1,-1
0,14,10,0,4,2,-1
0,14,11,0,4,1,-1
3,13,11,0,4,2,-1
3,12,11,0,4,1,-1
3,11,11,0,4,2,-1
0,11,12,0,3,2,-1
3,10,12,0,4,2,-1
0,10,13,0,4,1,-1
3,9,13,0,4,2,-1
0,9,14,0,4,1,-1
2,9,13,0,4,2,-1
3,8,13,0,4,1,-1
1,9,13,0,4,2,-1
0,9,14,0,4,1,-1
3,8,14,0,4,2,-1
2,8,13,0,4,1,-1
0,8,14,0,4,2,-1
1,9,14,0,4,1,-1
3,8,14,0,4,2,-1
2,8,13,0,4,1,-1
3,7,13,0,4,0,-1
0,7,14,0,4,1,999
0,7,14,0,4,1,999
