Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,8,4,0
0,7,1,1,9,4,-1
3,6,1,0,8,4,-1
3,5,1,0,8,3,-1
0,5,2,0,8,2,-1
0,5,3,0,8,1,-1
0,5,4,0,7,1,-1
0,5,5,0,7,0,-1
3,4,5,0,7,1,-1
0,4,6,0,8,1,-1
0,4,7,0,7,1,-1
0,4,8,0,7,0,-1
1,5,8,0,6,0,-1
2,5,7,0,7,0,-1
1,6,7,0,6,0,-1
3,5,7,0,7,0,-1
0,5,8,0,6,0,-1
3,4,8,0,7,0,-1
1,5,8,0,6,0,-1
2,5,7,0,7,0,-1
0,5,8,0,8,0,-1
1,6,8,0,7,0,-1
0,6,9,0,7,1,-1
1,7,9,0,6,1,-1
3,6,9,1,5,1,-1
1,7,9,0,5,3,-1
1,8,9,0,5,4,-1
2,8,8,1,5,5,-1
0,8,9,0,4,5,-1
0,8,10,1,5,5,-1
0,8,11,0,4,5,-1
0,8,12,1,4,6,-1
2,8,11,1,5,7,-1
0,8,12,0,4,8,-1
2,8,11,1,5,8,-1
0,8,12,0,4,7,-1
0,8,13,0,4,6,-1
2,8,12,0,4,8,-1
0,8,13,0,5,8,-1
2,8,12,1,6,8,-1
0,8,13,0,6,9,-1
2,8,12,1,7,9,-1
0,8,13,1,7,10,-1
3,7,13,0,7,11,-1
0,7,14,1,8,11,999
0,7,14,1,8,11,999
