Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,9,0
3,6,0,1,2,10,-1
1,7,0,0,1,9,-1
0,7,1,0,1,8,-1
2,7,0,0,0,8,-1
1,8,0,0,0,7,-1
3,7,0,0,0,8,-1
1,8,0,0,0,7,-1
0,8,1,0,0,8,-1
1,9,1,0,1,8,-1
1,10,1,0,0,8,-1
1,11,1,0,1,8,-1
2,11,0,0,0,8,-1
0,11,1,0,0,7,-1
3,10,1,0,0,8,-1
0,10,2,0,0,7,-1
1,11,2,0,0,8,-1
3,10,2,0,0,7,-1
0,10,3,0,0,8,-1
3,9,3,0,0,7,-1
0,9,4,0,0,8,-1
0,9,5,0,0,7,-1
2,9,4,0,0,8,-1
0,9,5,0,1,9,-1
3,8,5,0,2,9,-1
0,8,6,0,2,10,-1
2,8,5,0,2,9,-1
1,9,5,0,2,10,-1
1,10,5,0,2,9,-1
1,11,5,0,2,10,-1
1,12,5,0,2,9,-1
1,13,5,0,2,10,-1
3,12,5,0,2,9,-1
1,13,5,0,1,9,-1
1,14,5,0,1,10,-1
2,14,4,0,1,11,-1
0,14,5,0,2,11,-1
3,13,5,0,2,10,-1
3,12,5,0,2,9,-1
1,13,5,0,2,10,-1
0,13,6,0,2,9,-1
1,14,6,0,2,10,-1
0,14,7,0,2,9,-1
0,14,8,0,2,10,-1
2,14,7,0,2,9,-1
0,14,8,0,2,10,-1
2,14,7,0,2,9,-1
0,14,8,0,2,10,-1
0,14,9,0,2,9,-1
3,13,9,0,2,10,-1
3,12,9,0,1,10,-1
1,13,9,0,1,9,-1
3,12,9,0,1,8,-1
3,11,9,0,1,9,-1
2,11,8,0,2,9,-1
1,12,8,0,2,10,-1
0,12,9,0,2,11,-1
3,11,9,1,1,11,-1
3,10,9,0,1,10,-1
3,9,9,0,2,10,-1
2,9,8,0,2,9,-1
0,9,9,0,2,10,-1
2,9,8,0,2,9,-1
1,10,8,0,2,10,-1
1,11,8,0,2,9,-1
0,11,9,0,1,9,-1
2,11,8,0,2,9,-1
1,12,8,0,2,10,-1
3,11,8,0,2,11,-1
1,12,8,0,2,10,-1
0,12,9,0,2,9,-1
2,12,8,0,2,10,-1
0,12,9,0,2,9,-1
2,12,8,0,2,10,-1
0,12,9,0,2,9,-1
3,11,9,0,2,10,-1
2,11,8,0,2,9,-1
3,10,8,0,2,10,-1
3,9,8,0,2,9,-1
0,9,9,0,2,10,-1
2,9,8,0,1,10,-1
1,10,8,0,2,10,-1
1,11,8,0,2,9,-1
3,10,8,0,2,10,-1
0,10,9,0,2,9,-1
2,10,8,0,2,10,-1
1,11,8,0,2,9,-1
0,11,9,0,2,10,-1
2,11,8,0,2,9,-1
1,12,8,0,1,9,-1
0,12,9,0,2,9,-1
3,11,9,0,1,9,-1
1,12,9,0,2,9,-1
2,12,8,0,2,10,-1
3,11,8,0,2,9,-1
2,11,7,0,2,10,-1
0,11,8,0,2,11,-1
0,11,9,0,3,11,-1
2,11,8,1,3,12,-1
2,11,7,1,5,12,-1
3,10,7,0,6,11,-1
3,9,7,0,7,11,-1
3,8,7,0,7,10,-1
2,8,6,0,8,10,-1
3,7,6,0,9,10,-1
3,6,6,0,9,9,-1
3,5,6,0,9,8,-1
3,4,6,0,9,7,-1
0,4,7,0,10,7,-1
2,4,6,0,9,7,-1
3,3,6,0,8,7,-1
1,4,6,1,8,6,-1
0,4,7,0,7,6,-1
0,4,8,0,5,6,-1
0,4,9,1,4,7,-1
0,4,10,1,4,9,-1
1,5,10,1,5,10,-101
1,5,10,1,5,10,-101
