Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,11,0
3,6,0,0,11,11,-1
0,6,1,0,11,12,-1
2,6,0,0,10,12,-1
3,5,0,0,10,11,-1
3,4,0,0,10,12,-1
1,5,0,0,10,11,-1
0,5,1,0,10,10,-1
0,5,2,0,10,11,-1
2,5,1,0,9,11,-1
2,5,0,0,10,11,-1
3,4,0,0,11,11,-1
0,4,1,0,11,10,-1
1,5,1,0,10,10,-1
3,4,1,0,10,11,-1
0,4,2,0,11,11,-1
2,4,1,0,11,12,-1
0,4,2,0,11,11,-1
2,4,1,0,11,12,-1
1,5,1,0,11,13,-1
3,4,1,1,10,13,-1
0,4,2,0,10,12,-1
0,4,3,0,11,12,-1
3,3,3,0,11,11,-1
2,3,2,0,11,10,-1
0,3,3,0,10,10,-1
3,2,3,0,11,10,-1
2,2,2,1,8,9,-1
3,1,2,1,7,8,-1
2,1,1,1,7,7,-1
3,0,1,1,6,7,-1
2,0,0,1,6,6,-1
0,0,1,1,5,7,-1
2,0,0,1,5,5,-1
1,1,0,1,5,3,-1
3,0,0,1,4,2,-1
0,0,1,1,3,1,-1
0,0,2,1,1,1,-1
0,0,3,1,1,0,-1
0,0,4,1,1,1,-1
0,0,5,1,1,3,-1
0,0,6,1,0,2,-1
0,0,7,1,0,3,-1
0,0,8,1,0,5,-1
0,0,9,1,1,6,-1
0,0,10,1,1,8,-1
0,0,11,1,1,9,-1
0,0,12,1,1,11,-1
0,0,13,1,2,10,-1
1,1,13,1,2,12,-1
0,1,14,1,2,13,-1
3,0,14,1,0,13,-1
1,1,14,1,1,14,-101
1,1,14,1,1,14,-101
