Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,7,0
3,6,0,0,12,8,-1
3,5,0,0,12,7,-1
3,4,0,0,12,8,-1
0,4,1,0,13,8,-1
0,4,2,0,13,7,-1
1,5,2,0,12,7,-1
3,4,2,0,13,7,-1
2,4,1,0,13,8,-1
0,4,2,0,13,9,-1
2,4,1,0,13,8,-1
0,4,2,0,12,8,-1
2,4,1,0,11,8,-1
2,4,0,0,11,7,-1
0,4,1,0,12,7,-1
2,4,0,0,13,7,-1
0,4,1,0,13,8,-1
2,4,0,0,13,7,-1
0,4,1,0,12,7,-1
2,4,0,1,12,6,-1
3,3,0,1,12,5,-1
0,3,1,0,13,5,-1
0,3,2,0,13,6,-1
0,3,3,0,13,5,-1
3,2,3,0,14,5,-1
3,1,3,0,14,6,-1
0,1,4,0,13,6,-1
0,1,5,0,13,5,-1
0,1,6,0,12,5,-1
0,1,7,0,11,5,-1
0,1,8,0,12,5,-1
0,1,9,0,11,5,-1
3,0,9,0,11,4,-1
1,1,9,0,11,5,-1
0,1,10,0,11,6,-1
3,0,10,0,11,7,-1
0,0,11,0,12,7,-1
0,0,12,0,12,6,-1
0,0,13,0,12,7,-1
2,0,12,0,12,6,-1
0,0,13,0,11,6,-1
0,0,14,0,11,5,-1
2,0,13,0,11,4,-1
0,0,14,0,10,4,-1
2,0,13,0,9,4,-1
2,0,12,0,9,3,-1
0,0,13,0,9,2,-1
0,0,14,0,10,2,-1
1,1,14,0,10,3,-1
1,2,14,0,9,3,-1
1,3,14,0,9,4,-1
1,4,14,1,9,5,-1
1,5,14,1,8,5,-1
1,6,14,1,9,6,-1
1,7,14,1,9,8,999
1,7,14,1,9,8,999
