Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,7,0
3,6,0,1,0,5,-1
1,7,0,1,1,5,-1
3,6,0,1,1,4,-1
1,7,0,1,0,4,-1
1,8,0,1,0,5,-1
3,7,0,1,0,6,-1
3,6,0,1,1,5,-1
1,7,0,1,2,4,-1
3,6,0,1,3,3,-1
1,7,0,1,4,3,-1
3,6,0,1,5,3,-1
1,7,0,1,5,1,-1
1,8,0,1,5,0,-1
1,9,0,1,6,1,-1
1,10,0,1,8,1,-1
1,11,0,1,9,1,-1
1,12,0,1,11,1,-1
1,13,0,1,12,2,-1
1,14,0,1,14,2,-1
3,13,0,1,14,1,-1
3,12,0,1,13,1,-1
3,11,0,1,11,1,-1
1,12,0,1,10,1,-1
1,13,0,1,12,1,-1
1,14,0,1,13,0,-1
0,14,1,1,14,0,-1
0,14,2,1,14,1,-1
0,14,3,1,14,2,-1
3,13,3,1,13,1,-1
0,13,4,1,13,2,-1
0,13,5,1,13,4,-1
0,13,6,1,12,3,-1
0,13,7,1,12,5,-1
0,13,8,1,12,7,-1
0,13,9,1,12,8,-1
0,13,10,1,12,7,-1
0,13,11,1,12,8,-1
1,14,11,1,12,9,-1
0,14,12,1,11,10,-1
3,13,12,1,12,10,-1
0,13,13,1,12,11,-1
0,13,14,1,12,13,-1
1,14,14,1,12,12,-1
3,13,14,1,12,13,-1
1,14,14,1,12,12,-1
3,13,14,1,13,13,-1
3,12,14,1,12,13,-1
3,11,14,1,11,13,-1
3,10,14,1,10,13,-1
3,9,14,1,9,13,-1
3,8,14,1,8,12,-1
3,7,14,1,8,13,999
3,7,14,1,8,13,999
