Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,1,0
1,8,0,1,1,1,-1
1,9,0,1,0,0,-1
1,10,0,1,1,0,-1
1,11,0,1,0,1,-1
1,12,0,1,1,1,-1
1,13,0,1,2,1,-1
1,14,0,1,2,0,-1
0,14,1,1,3,1,-1
2,14,0,1,4,2,-1
0,14,1,1,5,2,-1
3,13,1,1,6,1,-1
1,14,1,1,8,1,-1
0,14,2,1,9,1,-1
0,14,3,1,10,1,-1
0,14,4,1,12,1,-1
0,14,5,1,12,2,-1
0,14,6,1,12,3,-1
0,14,7,1,12,4,-1
0,14,8,0,13,6,-1
0,14,9,0,12,6,-1
2,14,8,0,13,6,-1
2,14,7,1,14,6,-1
0,14,8,0,13,6,-1
0,14,9,0,12,6,-1
3,13,9,0,11,6,-1
3,12,9,1,11,7,-1
0,12,10,1,11,9,-1
1,13,10,1,12,9,-1
0,13,11,1,13,10,-1
3,12,11,1,12,9,-1
3,11,11,1,11,10,-1
0,11,12,1,11,12,-101
0,11,12,1,11,12,-101
