Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,1,1,0,-1
0,7,2,0,2,0,-1
0,7,3,0,3,0,-1
0,7,4,0,4,0,-1
3,6,4,0,5,0,-1
3,5,4,0,4,0,-1
1,6,4,0,5,0,-1
3,5,4,0,6,0,-1
3,4,4,0,5,0,-1
0,4,5,0,6,0,-1
0,4,6,0,6,1,-1
3,3,6,0,6,0,-1
3,2,6,0,7,0,-1
3,1,6,0,8,0,-1
0,1,7,0,9,0,-1
3,0,7,0,8,0,-1
0,0,8,0,7,0,-1
0,0,9,0,8,0,-1
0,0,10,0,9,0,-1
0,0,11,0,8,0,-1
0,0,12,0,7,0,-1
0,0,13,0,7,1,-1
0,0,14,0,7,0,-1
1,1,14,0,7,1,-1
1,2,14,0,7,0,-1
1,3,14,0,6,0,-1
1,4,14,0,7,0,-1
3,3,14,0,8,0,-1
1,4,14,1,8,2,-1
1,5,14,1,8,3,-1
1,6,14,1,8,4,-1
1,7,14,1,8,6,999
1,7,14,1,8,6,999
