Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,2,0,-1
1,9,0,1,3,0,-1
1,10,0,1,4,0,-1
1,11,0,1,5,0,-1
0,11,1,1,6,0,-1
0,11,2,1,7,0,-1
0,11,3,0,8,0,-1
0,11,4,0,9,1,-1
1,12,4,0,8,1,-1
0,12,5,1,9,2,-1
1,13,5,1,10,3,-1
1,14,5,0,11,3,-1
3,13,5,1,12,3,-1
1,14,5,0,12,4,-1
2,14,4,1,12,5,-1
2,14,3,0,11,5,-1
2,14,2,0,12,5,-1
0,14,3,1,13,5,-1
2,14,2,1,14,5,-1
3,13,2,0,14,6,-1
3,12,2,0,14,5,-1
2,12,1,0,13,5,-1
2,12,0,1,12,5,-1
3,11,0,0,13,5,-1
3,10,0,1,12,4,-1
3,9,0,1,12,3,-1
0,9,1,1,12,2,-1
0,9,2,0,11,2,-1
3,8,2,1,11,1,-1
0,8,3,1,10,1,-1
1,9,3,1,9,1,-1
0,9,4,1,9,3,-1
0,9,5,1,9,5,-101
0,9,5,1,9,5,-101
