Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,1,3,0
1,8,0,1,3,3,-1
0,8,1,1,4,3,-1
0,8,2,0,6,3,-1
0,8,3,0,6,4,-1
1,9,3,0,6,3,-1
0,9,4,0,6,2,-1
0,9,5,0,6,1,-1
0,9,6,1,7,1,-1
0,9,7,0,7,2,-1
1,10,7,0,6,2,-1
0,10,8,0,7,2,-1
0,10,9,1,8,2,-1
3,9,9,0,8,3,-1
0,9,10,0,8,5,-1
0,9,11,0,8,6,-1
0,9,12,0,8,7,-1
0,9,13,0,9,7,-1
0,9,14,0,8,7,-1
3,8,14,0,8,6,-1
1,9,14,0,8,7,-1
3,8,14,0,9,7,-1
1,9,14,1,10,7,-1
3,8,14,1,11,8,-1
1,9,14,1,11,9,-1
3,8,14,1,11,11,-1
2,8,13,1,9,11,-1
0,8,14,1,9,12,-1
3,7,14,1,8,12,999
3,7,14,1,8,12,999
