Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,0,0
0,7,1,0,12,0,-1
0,7,2,0,10,0,-1
0,7,3,1,8,0,-1
3,6,3,0,10,0,-1
0,6,4,1,9,0,-1
2,6,3,1,8,1,-1
3,5,3,1,8,2,-1
2,5,2,0,7,2,-1
3,4,2,1,6,1,-1
3,3,2,0,7,0,-1
0,3,3,0,6,0,-1
2,3,2,0,6,1,-1
1,4,2,0,6,0,-1
0,4,3,1,7,0,-1
2,4,2,1,6,1,-1
1,5,2,1,7,0,-1
3,4,2,1,6,1,-1
3,3,2,0,7,0,-1
1,4,2,0,6,0,-1
1,5,2,1,6,1,-1
3,4,2,0,7,0,-1
3,3,2,0,6,0,-1
1,4,2,1,6,1,-1
0,4,3,1,7,0,-1
1,5,3,0,6,1,-1
3,4,3,0,6,0,-1
3,3,3,1,6,1,-1
1,4,3,0,7,1,-1
2,4,2,1,6,1,-1
2,4,1,0,7,0,-1
3,3,1,0,6,0,-1
1,4,1,0,6,1,-1
0,4,2,0,7,0,-1
0,4,3,1,6,1,-1
2,4,2,0,7,0,-1
3,3,2,0,6,0,-1
3,2,2,0,6,1,-1
1,3,2,0,6,0,-1
0,3,3,1,6,1,-1
2,3,2,1,7,1,-1
1,4,2,0,6,0,-1
3,3,2,0,6,1,-1
2,3,1,0,6,0,-1
3,2,1,0,6,1,-1
1,3,1,0,6,0,-1
3,2,1,0,7,0,-1
1,3,1,0,6,0,-1
1,4,1,0,6,1,-1
0,4,2,0,6,0,-1
3,3,2,0,6,1,-1
1,4,2,0,7,0,-1
0,4,3,1,6,1,-1
3,3,3,0,7,1,-1
2,3,2,0,6,0,-1
1,4,2,0,7,0,-1
1,5,2,1,6,1,-1
3,4,2,0,6,0,-1
0,4,3,1,7,0,-1
2,4,2,1,6,1,-1
3,3,2,0,6,0,-1
1,4,2,0,7,0,-1
1,5,2,1,6,1,-1
0,5,3,1,7,2,-1
3,4,3,1,6,3,-1
2,4,2,1,4,3,-1
1,5,2,1,4,2,-1
0,5,3,1,5,3,-101
0,5,3,1,5,3,-101
