Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,14,0
3,6,0,0,5,14,-1
0,6,1,0,4,14,-1
1,7,1,0,4,13,-1
1,8,1,0,4,12,-1
0,8,2,0,3,12,-1
1,9,2,0,3,11,-1
2,9,1,0,3,10,-1
0,9,2,0,4,10,-1
0,9,3,0,4,9,-1
2,9,2,0,4,8,-1
1,10,2,0,3,8,-1
2,10,1,0,4,8,-1
0,10,2,0,4,9,-1
0,10,3,0,5,9,-1
0,10,4,0,4,9,-1
1,11,4,0,4,10,-1
3,10,4,1,5,9,-1
0,10,5,0,4,9,-1
3,9,5,1,4,8,-1
0,9,6,0,5,9,-1
3,8,6,1,4,10,-1
1,9,6,0,4,9,-1
0,9,7,0,5,9,-1
0,9,8,0,4,9,-1
0,9,9,0,5,9,-1
3,8,9,0,4,9,-1
0,8,10,0,5,9,-1
3,7,10,0,4,9,-1
1,8,10,0,5,9,-1
0,8,11,0,4,9,-1
2,8,10,0,4,8,-1
3,7,10,0,3,8,-1
1,8,10,0,3,9,-1
0,8,11,0,3,8,-1
0,8,12,0,3,9,-1
3,7,12,0,3,8,-1
0,7,13,0,4,8,-1
3,6,13,1,3,8,-1
1,7,13,1,3,9,-1
0,7,14,0,2,9,999
0,7,14,0,2,9,999
