Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,8,13,0
3,6,0,1,8,11,-1
3,5,0,1,7,11,-1
1,6,0,1,7,10,-1
3,5,0,1,6,9,-1
3,4,0,0,5,8,-1
1,5,0,0,4,8,-1
3,4,0,0,3,8,-1
0,4,1,0,2,8,-1
1,5,1,0,3,8,-1
1,6,1,0,3,7,-1
2,6,0,0,2,7,-1
0,6,1,0,3,7,-1
0,6,2,0,3,8,-1
3,5,2,0,3,7,-1
1,6,2,0,2,7,-1
1,7,2,0,2,8,-1
1,8,2,0,2,7,-1
2,8,1,0,2,8,-1
1,9,1,0,3,7,-1
2,9,0,1,4,7,-1
1,10,0,0,2,7,-1
3,9,0,0,3,7,-1
3,8,0,0,3,8,-1
3,7,0,0,3,7,-1
1,8,0,0,3,8,-1
1,9,0,0,3,7,-1
1,10,0,1,3,8,-1
3,9,0,0,3,7,-1
0,9,1,1,5,8,-1
1,10,1,0,6,8,-1
3,9,1,1,6,7,-1
2,9,0,1,6,6,-1
1,10,0,1,5,5,-1
1,11,0,1,6,5,-1
3,10,0,1,5,4,-1
1,11,0,1,6,4,-1
1,12,0,1,7,4,-1
3,11,0,1,6,3,-1
1,12,0,1,5,3,-1
1,13,0,1,5,2,-1
1,14,0,1,4,1,-1
3,13,0,1,3,0,-1
0,13,1,1,3,1,-1
1,14,1,1,5,1,-1
3,13,1,1,5,0,-1
1,14,1,1,6,1,-1
2,14,0,1,7,1,-1
3,13,0,1,8,1,-1
1,14,0,1,8,2,-1
3,13,0,1,9,2,-1
1,14,0,1,10,1,-1
0,14,1,1,9,0,-1
0,14,2,1,10,0,-1
2,14,1,1,11,0,-1
0,14,2,1,11,1,-1
2,14,1,1,12,0,-1
0,14,2,1,11,1,-1
0,14,3,1,13,1,-1
2,14,2,1,14,2,-101
2,14,2,1,14,2,-101
