Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,14,0
3,6,0,0,12,13,-1
3,5,0,0,11,13,-1
3,4,0,0,12,13,-1
1,5,0,0,11,13,-1
0,5,1,0,10,13,-1
2,5,0,0,10,12,-1
0,5,1,0,10,13,-1
2,5,0,0,10,12,-1
0,5,1,0,11,12,-1
2,5,0,0,12,12,-1
0,5,1,0,13,12,-1
2,5,0,1,13,11,-1
3,4,0,0,13,12,-1
3,3,0,0,13,11,-1
3,2,0,0,13,12,-1
1,3,0,0,12,12,-1
0,3,1,0,11,12,-1
2,3,0,0,12,12,-1
0,3,1,0,12,13,-1
3,2,1,0,12,11,-1
3,1,1,1,12,12,-1
3,0,1,1,12,11,-1
0,0,2,1,11,11,-1
1,1,2,1,11,10,-1
3,0,2,1,10,10,-1
2,0,1,1,9,10,-1
1,1,1,1,9,9,-1
3,0,1,1,8,9,-1
1,1,1,1,7,8,-1
3,0,1,1,6,7,-1
2,0,0,1,5,6,-1
1,1,0,1,5,4,-1
3,0,0,1,4,4,-1
0,0,1,1,2,4,-1
2,0,0,1,2,3,-1
1,1,0,1,2,1,-1
3,0,0,1,0,1,-1
1,1,0,1,1,0,-101
1,1,0,1,1,0,-101
