Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,14,0
1,8,0,1,6,13,-1
1,9,0,1,7,14,-1
1,10,0,1,8,13,-1
1,11,0,1,8,12,-1
1,12,0,1,8,11,-1
1,13,0,1,8,9,-1
1,14,0,1,7,8,-1
0,14,1,1,8,7,-1
2,14,0,1,8,6,-1
3,13,0,1,8,5,-1
1,14,0,1,9,6,-1
3,13,0,1,9,5,-1
1,14,0,1,10,4,-1
3,13,0,1,10,3,-1
1,14,0,1,11,3,-1
0,14,1,1,11,4,-1
2,14,0,1,11,2,-1
0,14,1,1,12,2,-1
2,14,0,1,12,1,-1
0,14,1,1,13,1,-1
0,14,2,1,14,1,-1
0,14,3,1,14,2,-1
3,13,3,1,13,2,-1
0,13,4,1,13,3,-1
0,13,5,1,14,4,-1
3,12,5,1,14,3,-1
0,12,6,1,14,4,-1
0,12,7,1,13,5,-1
3,11,7,1,12,5,-1
3,10,7,1,11,5,-1
0,10,8,1,11,6,-1
0,10,9,1,11,7,-1
0,10,10,1,11,9,-1
3,9,10,1,10,9,-1
3,8,10,1,8,9,-1
0,8,11,1,7,10,-1
0,8,12,1,7,11,-1
0,8,13,1,7,12,-1
0,8,14,1,7,13,-1
3,7,14,1,7,14,999
3,7,14,1,7,14,999
