Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,9,0
1,8,0,0,2,9,-1
1,9,0,0,2,10,-1
1,10,0,0,2,9,-1
1,11,0,0,1,9,-1
1,12,0,0,1,8,-1
1,13,0,0,2,8,-1
1,14,0,0,1,8,-1
0,14,1,1,2,8,-1
0,14,2,1,2,7,-1
0,14,3,0,4,7,-1
0,14,4,0,5,7,-1
0,14,5,0,6,7,-1
3,13,5,0,6,6,-1
0,13,6,1,6,5,-1
1,14,6,1,8,5,-1
0,14,7,1,9,5,-1
0,14,8,1,10,5,-1
0,14,9,0,11,5,-1
0,14,10,0,12,5,-1
0,14,11,0,12,6,-1
0,14,12,0,13,6,-1
0,14,13,0,13,7,-1
3,13,13,1,14,7,-1
3,12,13,1,14,8,-1
0,12,14,1,14,10,-1
3,11,14,1,13,11,-1
3,10,14,1,12,12,-1
3,9,14,1,11,14,-1
3,8,14,1,10,14,-1
3,7,14,1,9,14,999
3,7,14,1,9,14,999
