Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,0,1,-1
1,8,1,0,0,0,-1
0,8,2,0,1,0,-1
0,8,3,0,1,1,-1
0,8,4,0,1,2,-1
1,9,4,0,1,1,-1
0,9,5,0,1,0,-1
1,10,5,0,2,0,-1
0,10,6,0,1,0,-1
0,10,7,0,1,1,-1
0,10,8,0,0,1,-1
0,10,9,0,1,1,-1
0,10,10,0,2,1,-1
3,9,10,0,3,2,-1
0,9,11,0,2,2,-1
0,9,12,0,3,2,-1
0,9,13,0,4,2,-1
0,9,14,0,4,1,-1
3,8,14,0,4,2,-1
2,8,13,0,3,1,-1
3,7,13,0,3,2,-1
3,6,13,0,2,2,-1
1,7,13,0,2,1,-1
2,7,12,0,2,0,-1
3,6,12,0,2,1,-1
0,6,13,0,3,1,-1
1,7,13,0,2,1,-1
0,7,14,0,1,1,999
0,7,14,0,1,1,999
