Depth 100,Depth 1000
-1,-101
-1,-101
-1,-126
-101,-101
999,-101
-101,-126
-1,-1
-101,-101
999,-101
-101,-101
-101,-101
-101,-101
-101,-101
999,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-126
-101,-101
-101,-1
999,-101
-101,-101
-101,-101
-101,-101
999,-126
999,-126
-101,-101
-101,-126
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
-101,-101
999,-101
-101,-126
-101,-126
999,-101
-101,-126
-101,-101
-101,-101
999,-101
999,-101
-101,-1
-101,-1
-101,-101
-101,-1
-101,-101
-101,999
