Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,0,0,1,-1
0,8,1,0,1,1,-1
0,8,2,0,1,0,-1
0,8,3,1,1,1,-1
0,8,4,0,2,1,-1
0,8,5,1,3,2,-1
0,8,6,1,3,3,-1
0,8,7,1,5,3,-1
1,9,7,1,4,4,-1
0,9,8,1,6,4,-1
0,9,9,1,5,4,-1
0,9,10,1,5,5,-1
0,9,11,1,5,7,-1
0,9,12,0,6,8,-1
0,9,13,0,6,7,-1
3,8,13,0,6,8,-1
0,8,14,0,6,7,-1
2,8,13,0,6,6,-1
0,8,14,0,6,7,-1
1,9,14,0,6,8,-1
3,8,14,0,6,9,-1
1,9,14,0,7,9,-1
3,8,14,0,7,10,-1
1,9,14,0,8,10,-1
3,8,14,1,9,10,-1
3,7,14,1,9,12,999
3,7,14,1,9,12,999
