Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,5,5,0
0,7,1,0,5,4,-1
3,6,1,0,5,5,-1
1,7,1,0,5,6,-1
2,7,0,0,6,6,-1
3,6,0,0,5,6,-1
1,7,0,0,5,5,-1
3,6,0,0,4,5,-1
1,7,0,0,5,5,-1
1,8,0,0,5,4,-1
3,7,0,0,4,4,-1
3,6,0,0,3,4,-1
1,7,0,0,4,4,-1
1,8,0,0,5,4,-1
3,7,0,0,5,5,-1
3,6,0,0,5,6,-1
0,6,1,0,5,5,-1
1,7,1,0,5,6,-1
2,7,0,0,5,5,-1
0,7,1,0,5,6,-1
3,6,1,0,5,5,-1
1,7,1,0,5,6,-1
3,6,1,0,6,6,-1
1,7,1,0,6,7,-1
1,8,1,0,6,6,-1
3,7,1,0,5,6,-1
2,7,0,0,6,6,-1
1,8,0,0,6,7,-1
3,7,0,0,6,6,-1
0,7,1,0,6,7,-1
1,8,1,0,6,6,-1
2,8,0,0,5,6,-1
0,8,1,0,5,5,-1
3,7,1,0,5,6,-1
1,8,1,0,5,5,-1
2,8,0,0,5,4,-1
1,9,0,0,5,3,-1
3,8,0,0,6,3,-1
0,8,1,0,5,3,-1
2,8,0,0,5,4,-1
0,8,1,0,5,5,-1
3,7,1,0,5,6,-1
2,7,0,0,5,5,-1
1,8,0,0,4,5,-1
3,7,0,0,5,5,-1
3,6,0,0,4,5,-1
1,7,0,0,5,5,-1
3,6,0,0,5,4,-1
0,6,1,0,5,5,-1
2,6,0,0,5,4,-1
1,7,0,0,5,5,-1
3,6,0,0,4,5,-1
0,6,1,0,5,5,-1
2,6,0,0,4,5,-1
1,7,0,0,5,5,-1
1,8,0,0,5,4,-1
3,7,0,0,5,5,-1
0,7,1,0,4,5,-1
1,8,1,0,5,5,-1
0,8,2,1,5,4,-1
0,8,3,1,5,3,-1
0,8,4,1,7,3,-1
0,8,5,1,8,4,-1
1,9,5,1,8,5,-1
1,10,5,0,8,6,-1
0,10,6,1,8,5,-1
0,10,7,0,9,5,-1
3,9,7,1,10,5,-1
0,9,8,1,10,6,-1
0,9,9,0,10,7,-1
3,8,9,1,9,7,-1
0,8,10,0,11,7,-1
1,9,10,0,11,6,-1
0,9,11,0,11,7,-1
3,8,11,0,10,7,-1
3,7,11,1,9,7,-1
0,7,12,1,9,8,-1
0,7,13,1,9,9,-1
2,7,12,1,9,10,-1
0,7,13,1,9,11,-1
3,6,13,1,7,11,-1
0,6,14,0,6,10,-1
2,6,13,0,6,9,-1
0,6,14,0,6,10,-1
2,6,13,1,5,10,-1
0,6,14,0,5,12,-1
3,5,14,1,6,12,-1
1,6,14,1,6,14,-101
1,6,14,1,6,14,-101
