Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,1,-1
1,9,0,1,2,1,-1
1,10,0,1,3,1,-1
1,11,0,1,3,0,-1
0,11,1,1,3,1,-1
0,11,2,0,4,1,-1
0,11,3,0,5,1,-1
0,11,4,0,6,1,-1
1,12,4,0,7,1,-1
0,12,5,0,8,1,-1
0,12,6,0,9,1,-1
0,12,7,0,10,1,-1
3,11,7,1,11,1,-1
0,11,8,1,11,3,-1
0,11,9,1,11,4,-1
3,10,9,0,11,5,-1
0,10,10,1,11,6,-1
0,10,11,1,11,8,-1
0,10,12,1,11,10,-1
0,10,13,1,11,12,-1
3,9,13,1,10,12,-1
0,9,14,1,9,12,-1
3,8,14,1,8,13,-1
3,7,14,1,7,13,999
3,7,14,1,7,13,999
