Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,2,0,-1
1,9,0,1,4,0,-1
1,10,0,1,6,0,-1
1,11,0,1,6,1,-1
0,11,1,1,7,1,-1
0,11,2,0,8,1,-1
0,11,3,0,9,1,-1
0,11,4,0,9,0,-1
3,10,4,0,10,0,-1
3,9,4,0,11,0,-1
3,8,4,0,12,0,-1
3,7,4,0,13,0,-1
3,6,4,0,14,0,-1
3,5,4,0,13,0,-1
3,4,4,0,13,1,-1
3,3,4,0,13,2,-1
3,2,4,0,13,3,-1
2,2,3,0,13,2,-1
3,1,3,0,12,2,-1
0,1,4,0,13,2,-1
3,0,4,0,12,2,-1
0,0,5,0,11,2,-1
0,0,6,0,11,1,-1
0,0,7,1,11,0,-1
2,0,6,0,11,1,-1
0,0,7,0,10,1,-1
0,0,8,1,10,0,-1
0,0,9,0,10,1,-1
0,0,10,0,11,1,-1
0,0,11,0,10,1,-1
1,1,11,0,10,0,-1
0,1,12,0,9,0,-1
0,1,13,0,8,0,-1
1,2,13,0,8,1,-1
1,3,13,0,8,2,-1
0,3,14,0,7,2,-1
1,4,14,0,7,3,-1
1,5,14,0,6,3,-1
3,4,14,0,6,4,-1
2,4,13,0,6,5,-1
1,5,13,0,6,6,-1
3,4,13,0,5,6,-1
1,5,13,0,4,6,-1
1,6,13,0,5,6,-1
1,7,13,0,4,6,-1
0,7,14,0,3,6,999
0,7,14,0,3,6,999
