Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
1,8,0,1,1,1,-1
1,9,0,1,3,1,-1
1,10,0,1,4,1,-1
0,10,1,1,5,1,-1
1,11,1,1,6,1,-1
0,11,2,0,7,1,-1
0,11,3,0,8,1,-1
0,11,4,0,9,1,-1
3,10,4,0,10,1,-1
3,9,4,0,11,1,-1
3,8,4,0,11,2,-1
3,7,4,0,11,1,-1
3,6,4,0,10,1,-1
3,5,4,0,11,1,-1
3,4,4,0,11,2,-1
3,3,4,0,11,1,-1
3,2,4,0,11,2,-1
0,2,5,0,11,1,-1
0,2,6,0,11,2,-1
0,2,7,0,11,1,-1
0,2,8,0,11,2,-1
0,2,9,0,11,3,-1
0,2,10,0,11,4,-1
0,2,11,0,12,4,-1
0,2,12,0,11,4,-1
0,2,13,0,11,5,-1
1,3,13,0,10,5,-1
1,4,13,0,10,4,-1
1,5,13,0,11,4,-1
1,6,13,0,10,4,-1
0,6,14,0,11,4,-1
1,7,14,0,11,3,999
1,7,14,0,11,3,999
