Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,14,0
0,7,1,0,13,14,-1
0,7,2,0,13,13,-1
0,7,3,0,13,12,-1
1,8,3,0,12,12,-1
1,9,3,0,11,12,-1
3,8,3,0,11,13,-1
0,8,4,0,11,12,-1
3,7,4,0,12,12,-1
0,7,5,0,11,12,-1
0,7,6,0,11,13,-1
2,7,5,0,11,12,-1
0,7,6,0,11,13,-1
1,8,6,0,11,12,-1
0,8,7,0,12,12,-1
0,8,8,0,12,11,-1
2,8,7,0,12,10,-1
1,9,7,0,12,9,-1
3,8,7,0,12,10,-1
0,8,8,0,12,9,-1
2,8,7,0,12,10,-1
0,8,8,0,12,9,-1
1,9,8,0,12,10,-1
3,8,8,0,12,11,-1
3,7,8,0,12,10,-1
0,7,9,0,12,9,-1
3,6,9,0,12,10,-1
0,6,10,0,12,9,-1
1,7,10,0,12,10,-1
2,7,9,0,12,9,-1
0,7,10,0,12,10,-1
0,7,11,0,12,9,-1
1,8,11,0,12,10,-1
2,8,10,0,12,9,-1
3,7,10,0,12,10,-1
0,7,11,0,12,9,-1
0,7,12,0,12,10,-1
2,7,11,0,12,9,-1
1,8,11,0,12,10,-1
3,7,11,0,12,11,-1
2,7,10,0,12,10,-1
0,7,11,0,12,9,-1
1,8,11,0,12,10,-1
0,8,12,0,12,9,-1
0,8,13,0,12,10,-1
3,7,13,0,12,11,-1
1,8,13,1,12,12,-1
3,7,13,1,13,13,-1
1,8,13,1,12,12,-1
3,7,13,0,12,10,-1
1,8,13,0,12,11,-1
3,7,13,0,12,12,-1
1,8,13,1,11,13,-1
3,7,13,1,10,13,-1
0,7,14,1,11,13,999
0,7,14,1,11,13,999
