Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,7,0
1,8,0,0,0,6,-1
3,7,0,0,1,6,-1
0,7,1,0,0,6,-1
0,7,2,1,1,6,-1
2,7,1,0,2,5,-1
0,7,2,0,3,5,-1
3,6,2,0,2,5,-1
2,6,1,0,3,5,-1
1,7,1,0,2,5,-1
3,6,1,0,1,5,-1
1,7,1,0,2,5,-1
0,7,2,0,2,4,-1
1,8,2,1,1,4,-1
2,8,1,0,2,5,-1
2,8,0,1,3,5,-1
0,8,1,0,2,4,-1
1,9,1,0,2,5,-1
3,8,1,1,3,5,-1
1,9,1,0,2,5,-1
3,8,1,1,3,5,-1
1,9,1,0,2,4,-1
1,10,1,0,2,5,-1
0,10,2,0,1,5,-1
1,11,2,0,1,6,-1
0,11,3,0,1,5,-1
1,12,3,0,2,5,-1
0,12,4,0,3,5,-1
0,12,5,0,2,5,-1
1,13,5,0,3,5,-1
3,12,5,0,2,5,-1
3,11,5,0,3,5,-1
3,10,5,0,2,5,-1
3,9,5,0,3,5,-1
0,9,6,0,2,5,-1
1,10,6,0,3,5,-1
0,10,7,0,2,5,-1
3,9,7,0,3,5,-1
0,9,8,0,2,5,-1
3,8,8,0,2,4,-1
0,8,9,0,2,5,-1
2,8,8,0,1,5,-1
0,8,9,0,1,4,-1
0,8,10,0,2,4,-1
3,7,10,0,2,5,-1
1,8,10,0,3,5,-1
2,8,9,0,2,5,-1
3,7,9,0,3,5,-1
1,8,9,0,2,5,-1
0,8,10,0,3,5,-1
3,7,10,0,2,5,-1
0,7,11,0,3,5,-1
0,7,12,0,2,5,-1
3,6,12,0,3,5,-1
1,7,12,0,2,5,-1
3,6,12,0,3,5,-1
0,6,13,0,2,5,-1
3,5,13,0,3,5,-1
0,5,14,0,2,5,-1
1,6,14,0,3,5,-1
3,5,14,0,2,5,-1
1,6,14,0,3,5,-1
3,5,14,0,2,5,-1
1,6,14,0,3,5,-1
2,6,13,0,2,5,-1
2,6,12,0,3,5,-1
1,7,12,0,2,5,-1
0,7,13,0,3,5,-1
0,7,14,0,2,5,999
0,7,14,0,2,5,999
