Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,10,0
0,7,1,0,14,9,-1
3,6,1,0,13,9,-1
3,5,1,0,12,9,-1
3,4,1,0,11,9,-1
3,3,1,0,10,9,-1
3,2,1,0,11,9,-1
0,2,2,0,11,10,-1
0,2,3,1,10,10,-1
3,1,3,0,9,10,-1
3,0,3,0,8,10,-1
0,0,4,0,7,10,-1
0,0,5,0,6,10,-1
0,0,6,0,6,9,-1
0,0,7,0,5,9,-1
1,1,7,0,4,9,-1
0,1,8,0,5,9,-1
0,1,9,1,4,9,-1
0,1,10,0,5,10,-1
0,1,11,0,5,9,-1
3,0,11,0,4,9,-1
0,0,12,0,3,9,-1
0,0,13,0,2,9,-1
0,0,14,1,1,9,-1
1,1,14,0,1,10,-1
1,2,14,0,1,11,-1
1,3,14,0,0,11,-1
1,4,14,0,1,11,-1
1,5,14,0,0,11,-1
1,6,14,0,1,11,-1
3,5,14,0,0,11,-1
1,6,14,0,0,12,-1
3,5,14,0,0,13,-1
1,6,14,1,0,14,-1
1,7,14,1,2,14,999
1,7,14,1,2,14,999
