Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,13,0
0,7,1,0,7,13,-1
2,7,0,0,6,13,-1
3,6,0,0,6,12,-1
1,7,0,0,5,12,-1
0,7,1,0,6,12,-1
1,8,1,0,5,12,-1
3,7,1,0,5,13,-1
3,6,1,0,6,13,-1
3,5,1,0,6,12,-1
1,6,1,0,7,12,-1
3,5,1,0,6,12,-1
1,6,1,0,5,12,-1
0,6,2,0,6,12,-1
1,7,2,0,5,12,-1
1,8,2,0,6,12,-1
3,7,2,0,5,12,-1
2,7,1,0,5,11,-1
1,8,1,0,5,10,-1
3,7,1,0,5,11,-1
2,7,0,0,5,12,-1
3,6,0,0,6,12,-1
0,6,1,0,7,12,-1
0,6,2,0,7,13,-1
3,5,2,0,6,13,-1
0,5,3,0,5,13,-1
1,6,3,0,5,12,-1
1,7,3,0,5,11,-1
2,7,2,0,5,12,-1
2,7,1,0,5,11,-1
3,6,1,0,5,12,-1
1,7,1,0,6,12,-1
3,6,1,0,5,12,-1
0,6,2,0,5,11,-1
1,7,2,0,5,10,-1
3,6,2,0,5,11,-1
2,6,1,0,5,12,-1
2,6,0,0,5,11,-1
0,6,1,0,5,10,-1
1,7,1,0,4,10,-1
3,6,1,0,5,10,-1
1,7,1,0,4,10,-1
2,7,0,0,5,10,-1
1,8,0,0,4,10,-1
3,7,0,0,5,10,-1
1,8,0,0,5,11,-1
3,7,0,0,5,10,-1
3,6,0,0,5,11,-1
1,7,0,0,5,12,-1
3,6,0,0,5,11,-1
0,6,1,0,5,10,-1
1,7,1,0,4,10,-1
2,7,0,0,5,10,-1
0,7,1,0,5,11,-1
3,6,1,0,5,10,-1
3,5,1,0,4,10,-1
1,6,1,0,5,10,-1
1,7,1,0,4,10,-1
1,8,1,0,5,10,-1
3,7,1,0,4,10,-1
0,7,2,0,5,10,-1
2,7,1,0,5,11,-1
1,8,1,0,5,10,-1
1,9,1,0,5,11,-1
1,10,1,0,5,10,-1
0,10,2,0,4,10,-1
1,11,2,0,5,10,-1
0,11,3,0,5,11,-1
1,12,3,0,5,10,-1
2,12,2,0,5,11,-1
0,12,3,0,5,10,-1
0,12,4,0,4,10,-1
0,12,5,0,5,10,-1
0,12,6,0,4,10,-1
3,11,6,0,5,10,-1
0,11,7,0,5,11,-1
3,10,7,0,5,10,-1
1,11,7,0,4,10,-1
1,12,7,0,5,10,-1
0,12,8,0,5,11,-1
1,13,8,0,5,10,-1
3,12,8,0,4,10,-1
1,13,8,0,5,10,-1
1,14,8,0,5,11,-1
0,14,9,0,5,12,-1
0,14,10,0,5,13,-1
3,13,10,0,5,12,-1
0,13,11,0,6,12,-1
1,14,11,0,5,12,-1
3,13,11,0,6,12,-1
1,14,11,0,7,12,-1
3,13,11,0,7,11,-1
1,14,11,0,7,10,-1
0,14,12,0,8,10,-1
0,14,13,0,9,10,-1
3,13,13,0,8,10,-1
0,13,14,0,7,10,-1
1,14,14,0,8,10,-1
2,14,13,0,7,10,-1
0,14,14,0,8,10,-1
3,13,14,0,7,10,-1
1,14,14,0,8,10,-1
3,13,14,0,9,10,-1
2,13,13,0,9,9,-1
2,13,12,0,9,10,-1
3,12,12,0,10,10,-1
1,13,12,0,10,9,-1
2,13,11,1,12,9,-1
0,13,12,0,12,10,-1
0,13,13,1,13,10,-1
0,13,14,1,13,11,-1
3,12,14,1,13,12,-1
3,11,14,1,13,14,-1
3,10,14,1,11,14,-1
2,10,13,1,10,13,-101
2,10,13,1,10,13,-101
