Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,6,13,0
3,6,0,0,7,13,-1
0,6,1,0,6,13,-1
3,5,1,0,6,12,-1
2,5,0,0,5,12,-1
1,6,0,0,5,11,-1
1,7,0,0,5,10,-1
3,6,0,0,5,11,-1
3,5,0,0,5,10,-1
3,4,0,0,4,10,-1
1,5,0,0,5,10,-1
1,6,0,0,4,10,-1
0,6,1,0,5,10,-1
1,7,1,0,5,11,-1
1,8,1,0,5,10,-1
1,9,1,0,4,10,-1
1,10,1,0,5,10,-1
3,9,1,0,4,10,-1
1,10,1,0,5,10,-1
0,10,2,0,4,10,-1
1,11,2,0,5,10,-1
3,10,2,0,5,11,-1
1,11,2,0,5,12,-1
1,12,2,0,5,11,-1
0,12,3,0,5,12,-1
0,12,4,0,5,11,-1
0,12,5,0,5,10,-1
0,12,6,0,5,11,-1
0,12,7,0,5,12,-1
0,12,8,1,6,12,-1
3,11,8,1,7,12,-1
2,11,7,0,7,11,-1
3,10,7,1,8,10,-1
1,11,7,0,9,10,-1
3,10,7,0,9,9,-1
1,11,7,1,10,9,-1
3,10,7,1,11,8,-1
1,11,7,1,11,7,-101
1,11,7,1,11,7,-101
