Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,1,1,0,-1
0,7,2,0,0,0,-1
1,8,2,0,0,1,-1
0,8,3,0,1,1,-1
1,9,3,0,0,1,-1
1,10,3,0,0,0,-1
0,10,4,0,0,1,-1
1,11,4,0,0,0,-1
1,12,4,0,1,0,-1
0,12,5,0,0,0,-1
1,13,5,0,0,1,-1
1,14,5,0,0,0,-1
0,14,6,0,0,1,-1
0,14,7,0,0,0,-1
0,14,8,0,0,1,-1
0,14,9,0,0,0,-1
3,13,9,0,1,0,-1
0,13,10,0,0,0,-1
0,13,11,1,0,1,-1
0,13,12,1,1,2,-1
3,12,12,1,0,2,-1
3,11,12,1,1,2,-1
3,10,12,1,1,3,-1
3,9,12,1,2,4,-1
3,8,12,1,3,3,-1
3,7,12,1,4,4,-1
0,7,13,1,4,6,-1
0,7,14,1,4,7,999
0,7,14,1,4,7,999
