Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,12,14,0
1,8,0,0,13,14,-1
1,9,0,0,12,14,-1
1,10,0,0,12,13,-1
0,10,1,0,12,12,-1
0,10,2,0,12,13,-1
2,10,1,0,13,13,-1
2,10,0,1,13,11,-1
3,9,0,1,13,10,-1
3,8,0,1,13,9,-1
3,7,0,0,12,9,-1
3,6,0,0,12,10,-1
3,5,0,0,12,11,-1
3,4,0,0,12,10,-1
3,3,0,1,11,9,-1
0,3,1,1,10,9,-1
2,3,0,1,10,8,-1
1,4,0,1,9,9,-1
3,3,0,1,9,8,-1
0,3,1,1,9,9,-1
2,3,0,1,9,7,-1
1,4,0,1,8,6,-1
3,3,0,1,8,5,-1
0,3,1,1,6,5,-1
2,3,0,1,6,4,-1
3,2,0,1,5,3,-1
1,3,0,1,5,2,-1
3,2,0,1,5,1,-1
3,1,0,1,4,1,-1
3,0,0,1,5,1,-1
1,1,0,1,4,2,-1
3,0,0,1,5,2,-1
1,1,0,1,5,1,-1
1,2,0,1,3,1,-1
3,1,0,1,2,1,-1
3,0,0,1,1,1,-1
0,0,1,1,2,0,-1
0,0,2,1,1,0,-1
0,0,3,1,1,1,-1
2,0,2,1,0,1,-1
1,1,2,1,1,2,-101
1,1,2,1,1,2,-101
