Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,2,12,0
1,8,0,0,3,12,-1
0,8,1,0,3,13,-1
0,8,2,0,3,12,-1
0,8,3,0,2,12,-1
1,9,3,0,3,12,-1
0,9,4,0,3,13,-1
3,8,4,0,3,14,-1
3,7,4,0,3,13,-1
1,8,4,0,3,12,-1
1,9,4,0,3,13,-1
2,9,3,0,3,12,-1
1,10,3,0,3,13,-1
0,10,4,0,3,12,-1
0,10,5,0,3,13,-1
1,11,5,0,3,12,-1
2,11,4,0,2,12,-1
0,11,5,0,3,12,-1
0,11,6,0,3,13,-1
0,11,7,0,3,12,-1
3,10,7,0,3,13,-1
0,10,8,0,3,12,-1
0,10,9,0,2,12,-1
2,10,8,0,1,12,-1
2,10,7,0,2,12,-1
3,9,7,1,3,12,-1
0,9,8,0,3,13,-1
3,8,8,1,3,12,-1
0,8,9,0,3,14,-1
2,8,8,0,3,13,-1
0,8,9,0,3,12,-1
3,7,9,0,3,13,-1
3,6,9,1,3,12,-1
2,6,8,0,2,12,-1
0,6,9,0,2,11,-1
2,6,8,1,2,10,-1
0,6,9,0,3,10,-1
2,6,8,1,2,10,-1
0,6,9,0,3,10,-1
2,6,8,0,2,9,-1
3,5,8,0,2,10,-1
1,6,8,1,3,10,-1
3,5,8,0,2,9,-1
1,6,8,1,2,10,-1
3,5,8,1,3,10,-1
1,6,8,1,2,10,-1
3,5,8,1,3,10,-1
1,6,8,0,2,9,-1
0,6,9,0,2,10,-1
2,6,8,1,3,10,-1
1,7,8,1,2,10,-1
3,6,8,1,3,10,-1
1,7,8,0,2,9,-1
3,6,8,1,2,10,-1
1,7,8,0,3,10,-1
3,6,8,1,2,10,-1
1,7,8,0,3,10,-1
3,6,8,0,2,9,-1
1,7,8,1,2,10,-1
3,6,8,1,3,10,-1
1,7,8,0,2,9,-1
3,6,8,1,2,10,-1
1,7,8,0,3,10,-1
3,6,8,0,2,9,-1
0,6,9,0,2,10,-1
3,5,9,0,3,10,-1
2,5,8,0,2,10,-1
0,5,9,0,3,10,-1
2,5,8,0,2,9,-1
1,6,8,0,1,9,-1
1,7,8,0,2,9,-1
0,7,9,0,2,10,-1
0,7,10,0,2,9,-1
2,7,9,0,2,10,-1
0,7,10,0,2,11,-1
0,7,11,0,2,10,-1
1,8,11,0,2,11,-1
1,9,11,0,2,10,-1
3,8,11,0,3,10,-1
1,9,11,0,2,10,-1
3,8,11,0,2,9,-1
1,9,11,0,2,10,-1
2,9,10,0,3,10,-1
0,9,11,0,2,10,-1
2,9,10,0,2,9,-1
0,9,11,0,2,10,-1
1,10,11,0,3,10,-1
3,9,11,0,2,10,-1
1,10,11,0,2,9,-1
3,9,11,0,2,10,-1
0,9,12,0,2,9,-1
3,8,12,0,2,10,-1
0,8,13,0,2,9,-1
1,9,13,0,2,10,-1
3,8,13,0,3,10,-1
2,8,12,0,2,10,-1
0,8,13,0,3,10,-1
3,7,13,0,2,10,-1
0,7,14,0,3,13,999
0,7,14,0,3,13,999
