Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,13,7,0
3,6,0,1,12,6,-1
3,5,0,1,12,5,-1
3,4,0,1,11,5,-1
3,3,0,1,10,5,-1
3,2,0,1,8,5,-1
3,1,0,1,8,4,-1
3,0,0,1,7,4,-1
0,0,1,1,5,4,-1
2,0,0,1,3,4,-1
1,1,0,1,3,3,-1
3,0,0,1,2,2,-1
1,1,0,1,1,1,-1
1,2,0,1,0,1,-1
1,3,0,1,2,1,-1
1,4,0,1,3,0,-1
1,5,0,1,4,0,-1
0,5,1,1,5,0,-1
0,5,2,1,5,1,-1
0,5,3,1,4,2,-1
1,6,3,1,5,3,-1
1,7,3,1,5,2,-1
1,8,3,1,4,1,-1
0,8,4,1,5,1,-1
1,9,4,1,6,1,-1
1,10,4,1,7,1,-1
1,11,4,1,8,2,-1
0,11,5,1,9,3,-1
0,11,6,1,10,4,-1
0,11,7,1,11,3,-1
0,11,8,1,11,5,-1
0,11,9,1,11,7,-1
3,10,9,1,11,8,-1
0,10,10,1,10,9,-1
3,9,10,1,10,8,-1
0,9,11,1,10,9,-1
0,9,12,1,11,9,-1
0,9,13,1,11,7,-1
2,9,12,1,11,9,-1
3,8,12,1,10,8,-1
3,7,12,1,10,9,-1
0,7,13,1,10,10,-1
1,8,13,1,10,11,-1
3,7,13,1,11,10,-1
0,7,14,1,11,11,999
0,7,14,1,11,11,999
