Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,10,14,0
1,8,0,1,10,12,-1
0,8,1,1,10,13,-1
2,8,0,1,9,14,-1
1,9,0,1,9,12,-1
1,10,0,0,10,11,-1
3,9,0,0,10,12,-1
1,10,0,0,10,11,-1
0,10,1,0,10,10,-1
3,9,1,1,9,10,-1
1,10,1,1,8,10,-1
1,11,1,1,8,9,-1
1,12,1,1,8,8,-1
1,13,1,1,8,7,-1
2,13,0,1,8,5,-1
1,14,0,1,9,5,-1
3,13,0,1,9,4,-1
1,14,0,1,10,3,-1
3,13,0,1,11,2,-1
1,14,0,1,12,2,-1
0,14,1,1,12,1,-1
0,14,2,1,13,1,-1
0,14,3,1,13,2,-1
0,14,4,1,12,3,-1
2,14,3,1,13,3,-1
2,14,2,1,13,2,-1
0,14,3,1,14,2,-1
3,13,3,1,13,2,-1
3,12,3,1,12,3,-101
3,12,3,1,12,3,-101
